ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),OUT
0.388,9.675,1.786,0.236,9.696,1.452,0.2,-0.095,0.279,-0.306,0.369,0.058,8,-37.3,-21.4,1.9,88.6,-82.6,-8.7,0,4.5
0.498,9.738,1.856,0.186,9.667,1.641,0.27,0.016,0.494,0.126,0.094,-0.218,10,-37.1,-21.2,0,87.5,-80.6,-7.9,0,4.5
-0.153,10.099,1.506,-0.004,9.692,1.493,0.003,0.465,-0.183,0.109,0.026,-0.061,10,-36.5,-22.1,-0.4,89.9,-80.5,-4.4,0,4.5
-0.419,9.771,1.623,0.026,9.706,1.401,-0.308,-0.177,0.561,-0.038,0.05,0.149,11,-36.3,-21.7,-0.1,95.2,-81.8,0.2,0,4.5
0.113,9.958,1.324,0.092,9.709,1.38,0.037,0.196,0.201,-0.103,-0.032,0.104,11,-36,-21.5,-0.3,92.7,-81.8,-2.2,0,4.5
0.453,10.058,1.405,0.171,9.705,1.396,0.267,0.355,0,-0.072,0.02,0.057,10,-37.1,-20.8,-0.3,89.1,-81.7,-5.6,0,4.5
0.108,9.881,1.427,0.223,9.692,1.48,0.026,0.254,-0.23,-0.088,-0.101,0.022,10,-37.4,-20.4,-0.9,88.3,-81.5,-7.9,0,4.5
-0.038,10.003,0.572,0.165,9.714,1.334,-0.227,0.33,-0.766,0.09,-0.065,-0.03,11,-36.6,-20,0.4,85,-81.2,-8.6,0,4.5
-0.019,9.603,1.537,0.147,9.739,1.139,-0.034,-0.229,0.254,0.151,0.011,0.039,11,-36.7,-20.6,-0.3,87.2,-83,-6.8,0,4.5
-0.397,10.389,1.329,0.182,9.754,1.002,-0.653,0.487,0.459,0.05,0.169,0.138,11,-36.4,-20.1,-0.1,84.9,-83.8,-8.6,0,4.5
0.601,10.135,1.001,0.226,9.753,0.999,0.383,0.358,0,0.011,0.09,0.153,11,-37.1,-19.7,0.1,81.6,-84,-11.7,0,4.5
-0.141,9.984,1.516,0.326,9.745,1.052,-0.495,0.436,0.084,0.469,0.079,0.01,11,-37.1,-19.5,-0.5,77.6,-83.9,-15.8,0,4.5
0.611,9.85,0.239,0.35,9.771,0.761,0.291,0.154,-0.58,0.03,0.054,0.109,10,-36.8,-19.1,-0.4,70.5,-85,-22,0,4.5
0.639,9.539,1.781,0.433,9.766,0.779,0.294,-0.174,0.987,0.168,0.114,0.04,10,-37.3,-19.3,0.3,68.3,-85,-25.9,0,4.5
0.869,9.465,0.702,0.574,9.753,0.848,0.231,-0.332,-0.043,0.006,0.04,0.131,10,-37,-18.9,0.9,63.8,-84.5,-30.4,0,4.5
1.128,9.345,0.991,0.781,9.731,0.929,0.395,-0.353,-0.074,-0.203,-0.01,0.19,10,-37.5,-18.8,0,55.1,-83.5,-37.8,0,4.5
1.111,9.824,0.728,0.889,9.714,1.007,0.222,0.109,-0.279,-0.235,-0.176,-0.042,10,-37.5,-17.8,-0.3,51.7,-82.3,-41.4,0,4.5
0.522,10.118,0.462,0.771,9.713,1.109,-0.168,0.4,-0.46,-0.119,-0.101,-0.147,10,-36.8,-18.2,0.4,53.5,-81.9,-40,0,4.5
0.342,10.157,0.464,0.648,9.717,1.151,-0.39,0.418,-0.534,0.097,-0.023,-0.176,11,-36.6,-19.1,0.4,63.2,-82,-30.7,0,4.5
0.673,9.812,0.824,0.535,9.738,1.027,-0.132,0.275,-0.359,-0.174,-0.101,0.021,10,-36.4,-18.5,-0.2,66.9,-82.6,-28.4,0,4.5
0.572,9.872,1.113,0.543,9.745,0.95,-0.217,0.466,-0.016,0.029,0.062,0.079,10,-36.7,-18.6,0.7,64.9,-83.6,-29.8,0,4.5
0.551,9.939,0.742,0.608,9.743,0.93,0.049,0.308,-0.301,-0.041,-0.082,0.072,10,-36.5,-19.7,0,61.8,-83.3,-31.6,0,4.5
0.778,10.14,-0.232,0.592,9.759,0.768,-0.09,0.19,-0.565,0.228,0.12,-0.07,10,-36.8,-19.5,1.1,60.1,-83.5,-34.5,0,4.5
0.802,9.759,1.111,0.596,9.749,0.878,0.21,0.268,0.031,0.027,0.172,-0.004,10,-36.3,-18.4,-0.3,56.3,-84.2,-36.4,0,4.5
0.139,9.319,1.566,0.57,9.739,0.995,-0.428,-0.419,0.554,-0.187,0.193,-0.028,10,-37.1,-19.3,-0.1,61,-83.5,-32.1,0,4.5
0.575,9.62,1.762,0.547,9.725,1.134,-0.219,-0.065,0.884,-0.039,0.194,0.115,13,-37,-18.6,-1.3,61.8,-83.1,-28.4,0,4.5
0.204,10.458,1.726,0.619,9.698,1.32,-0.427,0.778,0.376,-0.32,0.038,0.173,13,-36.4,-18.7,-2.1,66.1,-81.9,-24.8,0,4.5
0.642,9.635,1.688,0.678,9.661,1.543,0.061,-0.059,0.295,-0.138,0.097,-0.052,14,-36.4,-18.4,-3.4,64.8,-80.8,-24.9,0,4.5
0.101,10.018,1.712,0.58,9.652,1.635,-0.202,0.143,0.029,-0.064,0.155,-0.006,15,-36.8,-18.1,-3.5,66.7,-80.1,-23.7,0,4.5
0.364,10.159,0.881,0.442,9.665,1.6,-0.133,0.523,-0.705,0.163,0.228,-0.149,15,-36.7,-18.7,-4.3,72.1,-79.9,-17,0,4.5
0.733,9.994,0.654,0.344,9.69,1.469,0.449,0.316,-0.979,0.144,0.125,-0.077,16,-37.7,-17.9,-4.3,73.9,-80.5,-14.8,0,4.5
0.539,9.721,1.295,0.357,9.7,1.395,0.171,0.031,-0.115,-0.03,0.01,0.054,16,-36.4,-19.1,-4.3,74.9,-81.6,-13.2,0,4.5
0.283,9.872,1.425,0.379,9.707,1.339,-0.085,0.167,0.018,0.118,0.041,0.039,17,-37.1,-19.7,-5.5,71.4,-81.6,-15,0,4.5
0.208,10.13,1.307,0.391,9.701,1.378,0.023,0.314,-0.147,-0.067,-0.037,-0.044,17,-36.7,-19.1,-4.7,70.7,-81.6,-15.8,0,4.5
0.103,9.953,1.343,0.347,9.698,1.413,-0.21,0.265,-0.077,-0.005,-0.145,-0.084,18,-38.2,-18.5,-5.7,70.2,-81.5,-14.9,0,4.5
0.259,9.268,2.059,0.326,9.697,1.427,-0.333,-0.05,0.562,0.019,-0.195,-0.086,18,-37,-18.1,-4.9,73.1,-81.2,-13.4,0,4.5
2.073,9.881,-0.225,0.383,9.711,1.314,1.664,0.003,-1.254,0.035,-0.426,-0.149,16,-37,-18.8,-3.7,73.4,-81.8,-13.1,0,4.5
0.122,9.749,2.37,0.4,9.697,1.403,-0.3,0.045,0.955,-0.373,-0.401,-0.062,14,-38.2,-19.2,-2.6,73.9,-81.4,-15.9,0,4.5
0.074,9.922,2.385,0.314,9.674,1.579,-0.237,0.263,0.741,-0.012,-0.051,-0.125,14,-37.3,-19.3,-2.3,78.2,-80.7,-13.5,0,4.5
0.821,9.405,1.616,0.357,9.659,1.654,0.561,-0.202,-0.2,-0.07,-0.114,0.046,12,-38,-19.4,-2.3,80.7,-80.3,-11.3,0,4.5
0.637,9.371,1.683,0.496,9.652,1.661,0.128,-0.273,0.011,-0.156,-0.089,0.093,12,-38,-19.3,-1.7,78.6,-80,-13.5,0,4.5
0.826,9.565,1.616,0.583,9.631,1.756,0.238,-0.087,-0.142,-0.145,-0.119,-0.026,14,-38.3,-18.9,-2.3,74.1,-79.3,-18.4,0,4.5
0.436,9.606,1.262,0.507,9.637,1.742,-0.038,-0.142,-0.456,-0.01,-0.065,-0.152,14,-37.1,-18.9,-1.9,75.4,-79.2,-17.2,0,4.5
0.182,10.128,2.078,0.32,9.653,1.702,-0.147,0.473,0.372,-0.051,-0.021,-0.134,13,-36.7,-20.2,-1.4,76.6,-79.5,-14.6,0,4.5
0.766,9.987,1.757,0.295,9.653,1.706,0.493,0.276,0.098,0.064,-0.042,-0.006,13,-38.1,-20.3,-1.9,83,-79.8,-9.5,0,4.5
0.872,9.026,1.765,0.412,9.65,1.695,0.466,-0.681,0.125,-0.075,-0.149,-0.012,14,-37.9,-20.2,-0.7,83.1,-79.9,-10.9,0,4.5
-0.079,10.298,1.65,0.332,9.659,1.664,-0.438,0.562,0.204,-0.162,0.086,-0.08,12,-37,-21.1,-0.7,81.7,-80.2,-12.5,0,4.5
-0.101,9.733,2.136,0.267,9.64,1.78,-0.372,-0.059,0.253,0.042,0.17,-0.029,12,-37.2,-20.9,-0.8,84.1,-79.6,-10.3,0,4.5
-0.101,10.367,1.583,0.124,9.631,1.843,-0.193,0.809,-0.073,0.054,0.002,-0.243,14,-37.5,-20.8,-1.1,89.9,-79,-4.9,0,4.5
-0.002,10.559,0.141,0.099,9.663,1.669,-0.101,0.896,-1.527,0.374,-0.045,0.014,14,-37.4,-22.1,-1.6,91.4,-79.3,-3.4,0,4.5
0.45,9.321,1.865,0.37,9.63,1.816,-0.186,-0.007,0.047,-0.186,-0.081,0.445,12,-38.1,-21.1,0,88.3,-79.6,-7.5,0,4.5
0.721,9.182,2.042,0.629,9.571,2.042,0.163,-0.355,-0.12,-0.02,0.277,0.061,12,-38,-20.3,0,81.6,-78.6,-14.6,0,4.5
0.132,9.369,2.832,0.598,9.56,2.103,-0.562,0.175,0.511,-0.05,0.205,0.035,13,-38.6,-19.4,-1.2,79.2,-77.1,-15.9,0,4.5
0.18,9.271,2.358,0.466,9.535,2.244,-0.298,-0.403,0.081,-0.078,0.027,-0.121,13,-38,-20.1,-1.2,81.1,-76.9,-14.6,0,4.5
0.378,9.84,1.477,0.182,9.563,2.165,0.064,0.24,-0.643,0.091,0.078,-0.075,15,-37.1,-20.2,-1.1,89.8,-77,-5.8,0,4.5
0.515,9.551,1.798,0.179,9.594,2.024,0.345,0.043,-0.32,-0.074,0.048,0.203,15,-38.5,-19.9,-1.8,90.9,-77.6,-4.2,0,4.5
0.656,9.879,1.535,0.385,9.601,1.962,0.36,0.177,-0.414,-0.035,0.078,0.278,15,-37.9,-19.4,-1.5,86.2,-78.2,-8.4,0,4.5
1.049,9.855,2.243,0.589,9.579,2.017,0.617,0.208,0.14,0.022,-0.098,0.008,15,-38,-18.8,-1.4,79.9,-78,-13.2,0,4.5
0.745,9.764,3.524,0.548,9.582,2.015,0.268,0.098,1.451,0.199,-0.343,-0.268,15,-38.3,-18.5,-0.2,80.4,-77.4,-16.1,0,4.5
0.048,9.953,1.607,0.41,9.635,1.778,-0.357,0.175,-0.429,0.217,-0.409,-0.172,13,-37.6,-19.9,2.1,83.3,-78.1,-14.6,0,4.5
0.354,8.856,1.324,0.37,9.667,1.608,0.056,-0.8,-0.502,-0.134,-0.171,0.021,13,-37.4,-20.4,2.5,87.4,-80.3,-12.6,0,4.5
-0.163,9.876,1.415,0.275,9.687,1.505,-0.38,0.18,-0.035,0.1,-0.084,-0.081,10,-37.2,-20.1,3.3,90,-80.7,-11.2,0,4.5
0.079,10.324,1.535,0.25,9.695,1.452,-0.171,0.612,0.139,0.086,0.026,0.007,10,-36.5,-20,4.7,92.6,-81.4,-9.8,0,4.5
0.326,9.761,1.853,0.245,9.689,1.494,0.026,0.139,0.518,-0.102,0.101,0.013,9,-35.6,-19.9,4.4,93.3,-81.4,-9.4,0,4.5
0.606,9.23,2.746,0.285,9.656,1.689,0.51,-0.519,0.712,-0.175,-0.043,-0.076,9,-36.4,-20.8,4.1,92.6,-79.9,-9.6,0,4.5
0.275,9.556,2.155,0.293,9.613,1.917,-0.018,-0.057,0.238,-0.052,-0.018,-0.117,9,-36.1,-20.3,3.6,91.5,-79,-9.3,0,4.5
0.436,9.568,1.654,0.266,9.597,2,0.254,-0.118,-0.223,-0.212,-0.106,-0.041,9,-36.5,-20.6,3.8,95.2,-78.4,-7.9,0,4.5
0.544,9.915,1.41,0.236,9.601,1.982,0.292,0.301,-0.488,-0.165,-0.044,-0.08,9,-36.2,-21.2,3.1,94.7,-78.2,-6.9,0,4.5
0.323,9.091,2.251,0.204,9.601,1.986,0.121,-0.184,0.068,-0.053,-0.035,-0.074,9,-35.9,-20.5,2.8,94.8,-78.2,-6.8,0,4.5
0.029,10.073,1.717,0.152,9.594,2.025,-0.097,0.481,-0.127,-0.21,-0.143,-0.026,9,-35.7,-21.7,3.2,97.6,-78,-4.3,0,4.5
-0.23,10.025,2.423,0.154,9.569,2.138,-0.183,0.328,0.584,0.204,-0.098,-0.081,10,-35.1,-21.8,3.4,98.4,-77.3,-4.3,0,4.5
-0.297,9.735,1.817,0.141,9.602,1.986,-0.21,0.117,-0.379,0.141,-0.055,0.002,10,-35.3,-21.5,3.1,97.9,-78,-4.1,0,4.5
0.821,9.347,1.427,0.172,9.621,1.892,0.118,0.138,-0.239,-0.058,-0.161,0.132,6,-36,-21.6,3.2,99,-78.7,-4.1,0,4.5
0.33,9.812,1.609,0.162,9.629,1.85,0.157,0.168,-0.682,-0.054,0.023,-0.232,5,-35.9,-21.8,3.8,96.9,-78.8,-5.8,0,4.5
0.668,9.251,2.445,0.015,9.603,1.988,0.134,0.412,0.126,0.011,-0.046,-0.241,5,-35.4,-23.1,2.3,98.5,-78.3,-2.3,0,4.5
-0.57,9.845,2.612,0.006,9.603,1.988,-0.664,0.295,0.665,-0.19,-0.062,0.118,7,-33,-23.5,-2.3,96.7,-78.7,0.7,0,4.5
0.464,9.453,2.581,0.214,9.561,2.172,0.111,-0.258,0.521,0.066,0.147,0.024,7,-35.2,-22.6,-2.5,89.7,-77.1,-5.6,0,4.5
-0.85,9.91,3.031,0.065,9.58,2.097,-0.835,0.242,0.949,0.078,0.024,-0.077,8,-34.4,-22.9,-2.9,90.1,-77.6,-3.4,0,4.5
-0.891,10.317,1.415,-0.088,9.633,1.835,-0.779,0.78,-0.484,0.265,-0.122,0.005,8,-33.5,-23.1,-2.5,91.6,-77.6,-1.8,0,4.5
-0.364,9.582,1.137,-0.019,9.682,1.56,-0.367,-0.038,-0.562,0.33,-0.138,0.137,9,-33.8,-22.3,-1.6,95.9,-79.8,2.7,0,4.5
0.474,8.88,1.851,0.087,9.708,1.385,0.427,-0.892,0.461,0.501,0.186,0.019,9,-34.6,-23.2,0,95.1,-81.1,-0.9,0,4.5
-0.177,8.782,2.732,0.112,9.698,1.45,0.51,-1.038,1.136,0.525,0.221,0.256,7,-34.4,-22.4,-0.1,91.2,-81.5,-4.4,0,4.5
0.862,9.821,1.037,0.284,9.594,2.011,0.152,-0.149,0.314,0.246,-0.233,-0.051,3,36.3,-17.5,-15.5,278.9,-78,-8,0,4.5
-0.299,9.517,3.539,0.24,9.562,2.163,-0.544,0.101,1.055,-0.117,0.075,-0.029,3,36.1,-17.8,-15.3,279.8,-77.7,-6.9,0,4.5
-0.089,9.46,2.935,0.223,9.538,2.269,-0.561,-0.126,0.978,0.006,0.027,-0.017,3,35.9,-17.6,-15.8,281.9,-76.6,-5.6,0,4.5
0.098,9.517,3.156,0.298,9.501,2.409,-0.149,-0.137,0.809,-0.29,-0.343,0.195,3,36.7,-17.3,-16.1,282,-76.5,-5.4,0,4.5
0.594,9.12,2.691,0.467,9.47,2.506,0.129,-0.355,0.193,-0.008,-0.038,0.019,3,35.2,-17.2,-17.2,279.1,-75,-9,0,4.5
0.651,9.402,2.332,0.446,9.491,2.428,0.093,-0.046,0.01,0.115,-0.078,-0.152,3,35.1,-18.5,-17.5,277.9,-75.1,-10.7,0,4.5
0.069,9.635,2.706,0.345,9.521,2.325,-0.077,-0.135,0.273,0.24,0.036,-0.066,3,35.7,-18.1,-16.9,279.8,-75.4,-10.4,0,4.5
0.002,9.706,1.427,0.273,9.592,2.022,-0.302,0.143,-0.609,0.021,-0.211,0.06,3,36,-18.2,-16.6,281.1,-77.5,-6.9,0,4.5
0.522,9.764,1.384,0.317,9.605,1.952,0.03,-0.153,-0.343,0.132,0.032,0.107,3,35.3,-18.4,-16,279.9,-77.9,-8,0,4.5
0.903,9.778,2.169,0.465,9.562,2.126,0.438,0.216,0.044,-0.16,0.011,0.093,3,35.9,-19,-15.5,276,-77.5,-11.8,0,4.5
0.297,9.74,2.263,0.503,9.56,2.127,-0.091,0.056,0.178,-0.078,-0.07,0.057,3,35.2,-19.7,-15.7,276.5,-77.2,-12.9,0,4.5
0.208,9.651,1.786,0.446,9.619,1.857,-0.19,0.057,-0.22,0.645,0.205,-0.044,3,35.8,-19.4,-15.3,272.6,-77.2,-13.6,0,4.5
0.421,9.357,1.695,0.438,9.647,1.707,-0.141,-0.135,-0.146,-0.001,0.122,0.112,3,35.5,-20.3,-14.9,273.4,-79.7,-13.8,0,4.5
0.196,9.654,1.997,0.467,9.651,1.674,-0.354,0.065,0.258,0.145,0.184,0.001,3,36.2,-20.4,-14.6,270.9,-79.6,-15.3,0,4.5
0.204,9.888,1.326,0.389,9.674,1.56,-0.185,0.214,-0.233,0.22,0.146,0.015,3,37,-20.6,-13.3,269.8,-80.3,-14.7,0,4.5
0.493,9.766,1.523,0.456,9.669,1.571,0.114,0.039,-0.11,-0.483,0.028,0.144,4,35.9,-21.4,-11.4,265.5,-80.4,-16.2,0,4.5
0.67,9.793,2.296,0.525,9.611,1.878,0.359,0.029,0.423,-0.244,0.31,-0.045,4,35.8,-21.5,-10.9,264.9,-78.9,-16,0,4.5
0.793,9.912,2.219,0.498,9.567,2.095,0.295,0.345,0.124,-0.28,0.118,-0.017,4,35.6,-20.8,-11.1,265.9,-78.1,-14.4,0,4.5
0.158,9.362,2.548,0.382,9.547,2.208,-0.12,-0.099,0.375,-0.026,0.22,-0.092,4,36.8,-20.2,-10.6,268.7,-76.7,-10.9,0,4.5
0.117,9.443,2.514,0.31,9.553,2.196,0.06,-0.152,-0.278,-0.088,0.037,-0.012,5,37,-21.2,-10.1,269.1,-77,-8.8,0,4.5
0.63,9.577,2.105,0.309,9.554,2.189,0.28,0.054,-0.051,-0.065,0.001,0.094,5,36.8,-20.4,-9.1,269.1,-77,-7.6,0,4.5
1.039,9.35,2.085,0.565,9.514,2.309,0.496,-0.196,-0.106,-0.235,-0.199,0.215,5,35.9,-20.9,-9.3,267.8,-76.8,-8.7,0,4.5
1.314,9.29,1.884,0.741,9.476,2.414,0.71,-0.373,-0.326,-0.176,-0.224,0.121,5,35.6,-20.7,-10.1,261.4,-75.6,-16.2,0,4.5
0.625,9.943,2.255,0.755,9.457,2.482,-0.104,0.424,-0.152,0.369,0.04,-0.101,5,34.9,-21,-11.8,262.9,-74.3,-17.2,0,4.5
0.898,9.623,2.485,0.754,9.455,2.491,-0.055,0.163,0.28,-0.18,-0.084,0.032,5,34.7,-20.8,-11.7,263.6,-74.9,-16.8,0,4.5
1.386,9.237,2.794,0.788,9.406,2.661,0.631,-0.291,0.191,-0.437,-0.32,-0.01,5,34.4,-21,-12.1,263.4,-74.2,-16.6,0,4.5
0.654,9.625,2.583,0.62,9.448,2.554,-0.056,0.383,-0.083,0.116,-0.231,-0.236,5,35.5,-20.4,-13.3,265.4,-74.2,-14.5,0,4.5
0.781,10.02,0.582,0.423,9.529,2.276,0.285,0.518,-1.507,0.265,-0.108,-0.168,5,35,-19.9,-13.1,269.7,-75,-12.4,0,4.5
-0.108,9.22,2.303,0.355,9.494,2.429,-0.472,-0.056,-0.732,-0.413,-0.189,-0.117,5,34.5,-19.1,-13.4,274,-75.8,-8.9,0,4.5
0.034,8.825,4.662,0.395,9.332,2.988,0.027,-0.72,1.234,-0.552,0.184,-0.006,5,34.4,-18.4,-15.1,277.6,-73.7,-7.4,0,4.5
-0.409,9.819,4.202,0.364,9.224,3.309,-0.632,0.401,0.857,-0.204,0.162,0.289,6,34.7,-17.5,-15.2,277.7,-70.7,-5.6,0,4.5
0.247,9.359,2.981,0.481,9.215,3.32,-0.329,0.069,-0.322,0.297,0.239,0.236,6,34.8,-18.1,-13.7,274.2,-69.7,-7.2,0,4.5
1.164,8.993,3.12,0.692,9.24,3.213,0.478,-0.259,-0.059,0.047,0.017,0.123,8,33.7,-19.9,-13.3,267.7,-70.4,-12.2,0,4.5
1.379,8.509,3.184,0.539,9.234,3.257,0.419,-0.504,-0.216,-0.16,-0.09,-0.285,8,33.8,-19.4,-14.2,270,-70.5,-11.6,0,4.5
-0.136,9.965,2.792,0.169,9.311,3.072,-0.306,0.607,-0.193,-0.012,-0.062,-0.169,7,34.8,-17.8,-13.5,277.7,-71.7,-3.2,0,4.5
-0.366,9.694,3.335,0.094,9.347,2.965,-0.431,0.254,0.364,0.217,-0.116,0.057,7,35.4,-18,-13.6,280.4,-72,-2.1,0,4.5
0.905,8.406,3.108,0.306,9.375,2.862,0.616,-0.401,0.207,0.07,-0.239,0.118,7,34.8,-19,-13.6,277.9,-72.9,-4.8,0,4.5
0.567,9.922,3.266,0.258,9.459,2.577,0.309,0.463,0.689,0.597,0.469,-0.15,7,34.3,-18.8,-13.3,275.1,-73.5,-6.7,0,4.5
-0.565,9.726,3.476,0.167,9.512,2.378,-0.694,0.575,0.617,-0.408,-0.061,-0.07,7,35.3,-19.1,-11.5,276.6,-76.1,-4.8,0,4.5
1.192,9.141,2.571,0.339,9.499,2.413,0.841,-0.394,0.11,-0.001,-0.049,0.157,5,34.9,-18.7,-11.2,274.4,-75.6,-5.1,0,4.5
0.67,9.536,2.219,0.482,9.511,2.342,0.48,0.114,-0.646,-0.017,-0.1,0.122,5,34.9,-20.4,-11.8,270.6,-75.9,-10.5,0,4.5
0.536,9.716,1.549,0.605,9.546,2.164,-0.072,0.169,-0.639,0.278,0.1,0.044,6,34.6,-20.1,-11.5,267.2,-75.9,-14,0,4.5
1.396,9.06,1.42,0.712,9.564,2.049,0.687,-0.586,-0.47,0.08,-0.072,-0.017,6,34.1,-20.8,-11.8,264,-77,-17.9,0,4.5
1.652,9.735,1.829,0.837,9.591,1.866,0.815,0.151,-0.072,0.345,0.138,-0.246,6,34.8,-20.2,-11.3,257.9,-77.5,-23.1,0,4.5
-0.438,10.904,2.545,0.704,9.66,1.534,-1.232,1.236,1.044,0.255,0.015,0.099,5,35.3,-20.3,-11,258.8,-79.7,-23.3,0,4.5
0.661,9.4,2.016,1.005,9.633,1.536,-0.344,-0.233,0.48,0.069,-0.191,0.337,5,35.2,-20.8,-10.8,253.2,-80,-27.4,0,4.5
0.766,9.405,1.978,1.186,9.625,1.457,-0.369,-0.237,0.068,0.085,-0.047,0.171,4,33.3,-22,-11.7,246.6,-79,-37.4,0,4.5
0.862,9.984,2.548,1.24,9.632,1.361,-0.16,-0.038,1.512,0.107,0.294,0.065,4,32.5,-22.4,-12,243,-79,-41.6,0,4.5
0.256,9.663,3.405,1.149,9.63,1.453,-0.984,-0.082,2.217,-0.058,0.22,-0.048,4,33.5,-21.8,-10.6,242.2,-79.4,-40.7,0,4.5
1.516,10.185,0.814,1.046,9.65,1.394,0.469,0.535,-0.58,0.053,0.107,0.043,4,33.4,-22.3,-10.4,244,-79.2,-36.7,0,4.5
0.627,9.781,0.702,0.932,9.684,1.231,-0.161,0.228,-0.932,0.27,0.045,-0.027,4,34,-22.1,-9.2,242.9,-80.9,-37.1,0,4.5
1.221,9.156,0.668,0.984,9.682,1.21,0.3,-0.441,-0.625,0.058,-0.205,-0.031,4,33.8,-22,-9.1,242,-80.9,-37.8,0,4.5
0,9.603,1.942,0.885,9.689,1.23,-0.612,0.013,0.314,0.053,-0.238,-0.126,5,34.6,-21.7,-8.9,239.6,-80.9,-38.8,0,4.5
0.254,10.348,0.979,0.714,9.716,1.124,-0.418,0.619,-0.166,0.039,-0.023,0.013,4,34.6,-21.5,-9.3,247.8,-82,-32.5,0,4.5
0.745,10.264,0.678,0.775,9.726,0.987,-0.007,0.666,-0.201,0.077,-0.052,0.159,4,34.1,-21.9,-9.2,249.1,-82.4,-33.1,0,4.5
1.125,9.699,1.065,0.908,9.718,0.948,0.176,-0.048,0.201,-0.113,-0.008,0.087,4,35.2,-22.7,-10.1,238.3,-82.3,-43.8,0,4.5
1.144,9.505,0.967,0.905,9.72,0.936,0.263,-0.341,0.089,-0.015,-0.095,-0.152,4,33.8,-23.1,-10.9,238,-82.3,-44.7,0,4.5
0.888,9.709,1.104,0.781,9.729,0.952,0.107,-0.02,0.152,0.077,0.035,-0.265,4,33.5,-22.6,-10.3,241.8,-82.6,-40.9,0,4.5
0.512,10.044,1.276,0.609,9.737,1,-0.166,0.248,0.286,-0.05,-0.078,-0.144,4,34.4,-21.8,-10.4,246.2,-83.1,-36.2,0,4.5
0.141,10.121,0.742,0.492,9.743,0.997,-0.365,0.454,-0.25,-0.019,-0.107,-0.063,4,35.2,-21.3,-10.9,256.5,-83.4,-27.3,0,4.5
0.074,10.276,0.79,0.415,9.745,1.017,-0.277,0.486,-0.219,-0.079,-0.128,0.046,4,35.7,-20.4,-10.6,258.3,-83.5,-25.6,0,4.5
0.218,10.202,0.982,0.46,9.748,0.963,-0.168,0.461,-0.108,0.074,0.029,0.171,4,35.3,-20.6,-12.2,262.4,-83.6,-22.5,0,4.5
-0.031,9.656,1.329,0.531,9.747,0.939,-0.263,0.225,-0.209,-0.143,0.205,0.341,4,35.4,-21.8,-11.8,259.8,-83.8,-25.5,0,4.5
0.883,9.776,0.74,0.782,9.705,1.169,0.169,0.01,-0.432,-0.244,0.584,0.177,4,34.3,-22.9,-11.1,249,-82.2,-34.5,0,4.5
0.084,10.269,1.587,0.786,9.68,1.359,-0.811,0.575,0.261,-0.12,0.531,0.117,5,35.4,-23.2,-10.3,249.5,-81.3,-32.8,0,4.5
1.401,9.096,1.803,0.784,9.673,1.411,0.049,-0.093,-0.017,-0.046,0.219,0.098,5,34.9,-23.8,-8.5,249.7,-80.5,-29.1,0,4.5
1.623,9.292,1.76,0.806,9.687,1.293,0.577,-0.338,0.813,0.212,-0.357,-0.025,5,35.2,-23.7,-7,247.9,-80.6,-29.6,0,4.5
1.19,9.419,2.255,0.827,9.675,1.371,0.733,0.322,0.73,0.068,0.515,-0.144,5,35.7,-23.3,-8.8,247.6,-80.6,-31.3,0,4.5
0.625,9.352,1.915,0.802,9.663,1.466,0.359,-0.256,0.066,0.063,0.009,0.013,5,36.2,-22.9,-7.6,248.6,-80.4,-28.7,0,4.5
0.907,9.563,1.877,0.842,9.651,1.522,-0.188,0.108,0.41,-0.266,-0.21,0.066,5,36.1,-22,-8.6,249.6,-79.8,-29,0,4.5
0.951,9.484,1.918,0.866,9.617,1.712,-0.37,-0.138,0.711,-0.042,-0.359,-0.018,5,35.6,-23.3,-9.8,249.7,-79.3,-28.3,0,4.5
0.136,10.087,1.652,0.822,9.627,1.676,-0.452,0.461,-0.044,0.069,0.046,0.03,5,36,-23,-10.3,253.3,-78.9,-25.9,0,4.5
0.493,9.668,1.853,0.783,9.62,1.738,-0.252,0.034,0.135,0.137,0.409,-0.08,5,36.1,-23.2,-10.3,253.6,-78.7,-26,0,4.5
0.747,9.908,1.688,0.73,9.627,1.719,0.001,0.321,0.113,-0.144,0.037,-0.022,5,36.1,-22.9,-8.9,254.1,-79.2,-23.7,0,4.5
1.152,9.891,1.149,0.7,9.646,1.622,0.274,0.273,-0.35,0.053,0.079,0.044,5,35.8,-22.2,-8.5,254.9,-79.5,-23,0,4.5
1.214,10.444,0.728,0.737,9.657,1.54,0.331,0.488,-0.475,0.177,0.199,0.018,5,36.3,-22.7,-7.6,251.3,-80,-25.6,0,4.5
