ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),OUT
0.072,8.263,1.216,0.092,9.694,1.482,0.107,-1.654,-0.172,-0.03,0.14,-0.062,26,24.6,-19.7,-29.3,310.5,-81.5,-4.8,3,0
0.575,9.122,0.704,0.234,9.677,1.571,0.34,-0.555,-0.867,-0.064,-0.143,0.178,26,26.1,-21.2,-29.5,307.9,-80.7,-6.9,3,0
0.151,11.282,1.293,0.263,9.694,1.46,-0.134,1.358,-0.172,0.292,-0.269,-0.081,26,24.5,-20.6,-29.6,306.6,-81,-10.4,3,0
0.639,12.879,1.159,0.391,9.729,1.167,0.617,2.85,0.093,0.077,-0.279,0.082,26,24.2,-22,-30.1,304.8,-82.2,-13.6,3,0
0.872,9.299,3.249,0.714,9.694,1.298,0.241,-0.447,1.659,0.175,-0.746,0.144,26,23,-21.7,-30.3,290.9,-81.4,-26.7,3,0
0.828,9.86,-0.46,0.641,9.734,1,0.187,0.125,-1.459,0.07,0.158,-0.247,25,21.1,-22.7,-32.5,289.3,-82.2,-33,3,0
-0.165,7.099,1.858,0.641,9.726,1.079,-0.818,-2.634,0.875,0.014,-0.318,0.009,25,20.9,-21.9,-32.1,291.8,-82.7,-30.9,3,0
0.108,8.251,0.089,0.602,9.751,0.848,-0.509,-1.553,-0.771,0.398,0.156,-0.034,14,20.9,-22.1,-31.6,289.8,-83.3,-33.2,3,0
1.379,10.547,-0.939,0.651,9.777,0.393,0.728,0.77,-1.332,0.278,0.24,0.105,14,21.8,-23.8,-30.2,280,-84.7,-42.6,3,0
-0.479,13.331,1.97,0.502,9.773,0.641,-0.651,3.243,1.396,-0.189,0.342,-0.712,12,22,-24.3,-29.9,263.7,-85.2,-56.9,3,0
-1.19,11.263,3.534,0.313,9.763,0.866,-1.786,2.103,2.773,-0.432,0.089,0.444,22,23.4,-21.8,-29.9,302.6,-85.2,-17.5,3,0
-1.281,7.133,0.455,0.509,9.727,1.139,-1.847,-2.247,-0.572,-0.165,0.495,0.343,22,24.1,-22.2,-29.9,289.2,-83.2,-27.3,3,0
-0.132,6.769,-1.015,0.438,9.729,1.155,-0.52,-2.831,-2.192,0.212,1.022,-0.059,22,24.8,-23.1,-27.8,292.1,-82.5,-21.7,3,0
-0.364,9.939,2.354,0.266,9.723,1.248,-0.72,0.342,1.206,0.092,1.024,-0.071,22,27.7,-22,-25.6,295,-82.4,-14.6,3,0
-0.419,13.353,1.013,0.064,9.759,0.967,-0.519,3.644,0.166,0.191,0.503,0.116,20,30.5,-22.9,-22,299.4,-84.1,-3.5,3,0
0.208,12.189,1.592,0.184,9.755,0.99,0.153,2.501,0.406,-0.073,0.454,-0.019,20,30.6,-22.9,-21.5,291.1,-84.3,-10.9,3,0
1.178,9.84,0.742,0.195,9.769,0.836,1.179,0.05,0.496,0.048,-0.632,-0.024,17,30.7,-23.6,-20,287.8,-84.9,-11.8,3,0
-1.398,7.686,1.614,0.034,9.776,0.778,-1.523,-2.167,0.855,0.301,0.803,-0.226,17,31.2,-23,-20.2,289.1,-84.9,-11.8,3,0
-0.426,7.197,-0.529,-0.025,9.771,0.832,-0.399,-2.505,-1.224,-0.103,0.296,0.007,16,32.2,-23.2,-18.2,298.8,-85.3,2.1,3,0
0.158,10.142,-0.117,-0.05,9.775,0.786,0.304,0.518,-0.867,-0.195,0.13,0.139,14,32.7,-22.8,-17.2,299.5,-85.4,4.8,3,0
0.01,11.902,2.193,0.053,9.783,0.675,-0.048,2.25,1.446,0.182,0.432,0.064,14,33.3,-24.2,-16.2,289.7,-85.9,-3.6,3,0
-0.338,11.186,1.235,0.085,9.786,0.625,-0.286,1.563,0.144,0.003,0.503,-0.027,14,33.2,-24.3,-15.4,287,-86.4,-6.5,3,0
-1.008,9.51,0.395,-0.006,9.79,0.565,-1.057,-0.034,-0.229,-0.322,0.191,0.137,14,33.3,-23.9,-13.1,290.2,-86.9,0.7,3,0
