Row,DOWN
223,0.040498649
224,0.027405262
225,-0.023933089
226,-0.077749703
227,0.020295439
228,-0.07952472
229,0.088695744
230,0.024291405
231,-0.032759681
232,-0.059070116
233,-0.021757018
234,-0.038114832
235,-0.077757836
236,0.006939407
237,-0.003710772
238,0.047173101
239,-0.016884734
240,-0.020928323
241,-0.036672909
242,-0.026709922
243,0.112660576
244,0.077368314
245,-0.051983033
246,0.017304355
247,-0.016610729
248,-0.017898432
249,-0.059712265
250,0.084823794
251,-0.02926474
252,-0.113920819
253,-0.039928603
254,0.044153329
255,-0.090925537
256,-0.054175058
257,-0.019541534
258,0.048029732
259,-0.119069044
260,0.003893422
261,-0.017141831
262,-0.026262287
263,-0.060647964
264,-0.026488785
265,0.134514227
266,0.037205851
267,-0.023399925
268,-0.016704879
269,0.015077075
270,0.113588197
271,-0.030879944
272,-0.058566818
273,-0.035512643
274,0.020347517
275,0.065660657
276,0.007710611
277,-0.067233942
278,0.040943648
279,-0.072273254
280,-0.046012772
281,0.077809413
282,0.033870398
283,0.042801479
284,0.010048867
285,0.117044854
286,-0.101757875
287,0.025450054
288,0.008664264
289,-0.011990367
290,0.032958586
291,-0.009433916
292,-0.053704907
293,-0.000696238
294,-0.115882609
295,-0.052636493
296,-0.064627147
297,0.014181119
298,-0.025713062
299,0.077955884
300,0.036973594
301,0.031641405
302,-0.046647295
303,-0.038919222
304,-0.126484928
305,0.054943353
306,-0.004170259
307,-0.04209082
308,-0.060769807
309,0.033880017
310,-0.047356879
311,-0.045111994
312,-0.011976981
313,-0.005437645
314,-0.027280524
315,0.035371527
316,-0.004061492
317,-0.005798345
318,-0.003802409
319,-0.021510141
320,-0.019775043
321,-0.00792213
322,0.036868053
323,-0.000605174
324,-0.044551898
325,0.000277864
326,-0.16218751
327,0.079307588
328,-0.007989566
329,0.000565508
330,-0.038679996
331,0.058600333
332,0.02898543
333,-0.071168506
334,-0.023036784
335,0.03120953
336,0.049311897
337,0.048440712
338,-0.051879998
339,-0.003894594
340,-0.046701362
341,-0.083128099
342,-0.002686962
343,-0.272713446
344,0.087933466
345,0.00330298
346,-0.011104983
347,-0.103288284
348,-0.039366378
349,-0.031176017
350,0.036396104
351,0.17132815
352,-0.010412923
353,0.127547728
354,0.12683313
355,0.03220912
356,0.008886714
357,-0.037049246
358,0.089089946
359,0.024272557
360,-0.124300844
361,0.030625577
362,0.027379586
363,-0.035687242
364,0.036457069
365,-0.100032847
366,0.071951237
367,0.052802515
368,-0.034257928
369,0.055951385
370,0.117319972
371,-0.054976558
372,-0.083681225
373,-0.005487807
374,-0.061470421
375,-0.125962898
376,-0.164244643
377,0.046908663
378,-0.110503119
379,0.014234248
380,-0.037334644
381,0.058117694
382,-0.081965069
383,-0.081677882
384,-0.030442442
385,-0.096349077
386,0.025664464
387,-0.060416785
388,0.112389249
389,0.030883772
390,-0.039250155
391,-0.124144099
392,0.03903696
393,-0.116091358
394,-0.049255858
395,-0.018586534
396,0.196554549
397,-0.068603182
398,-0.022262361
399,0.092385673
400,0.007185081
401,0.045114577
402,-0.073779196
403,-0.042168557
404,0.054494126
405,0.014008098
406,-0.001493754
407,0.07158311
408,0.052351125
409,0.089491292
410,0.025624814
411,0.091727873
412,-0.021645285
413,-0.077590344
414,-0.039831077
415,-0.076246493
416,0.072459335
417,0.036127458
418,-0.038672307
419,0.08571288
