Row,DOWN0,DOWN1,DOWN2,DOWN3
114,-0.285689841,0.579715539,0.118292575,-0.140004854
115,-0.019207637,0.579715539,-0.065571307,-0.093194391
116,-0.017288873,0.523455414,0.177633817,-0.113068739
117,0.61588186,0.523455414,-0.030492035,0.080356094
118,0.003974834,0.442564869,-0.028438417,0.307209921
119,0.009844217,0.457018436,-0.079212239,-0.138530062
120,-0.023446756,0.214259864,0.129982572,-0.008625713
121,-0.011673321,0.214259864,-0.003338764,0.147822683
122,-0.199366088,0.072457697,0.053832306,0.026709551
123,-0.139920796,-0.073078531,-0.01059906,-0.072389396
124,-0.426013614,0.325396678,-0.154423354,0.214265044
125,0.260602133,-0.074911658,0.236000535,-0.103454262
126,-0.27023418,0.156149992,-0.190889768,-0.004721269
127,-0.60825712,0.564144276,0.140382203,-0.19466682
128,0.14250812,-0.254797476,0.012447548,0.062465458
129,0.129108131,-0.050266348,0.021120208,0.126314394
130,0.106999676,0.459780728,0.128246455,-0.004699727
131,0.010483568,0.399351571,-0.078619515,0.047956411
132,0.22038012,0.399351571,-0.079536243,-0.193543151
133,-0.12133795,0.399351571,0.084134786,0.030832818
134,-0.155580682,0.399351571,0.279414178,0.515219105
135,-0.132324793,-1.887068802,-0.249899932,0.019724148
136,-0.087495805,-0.010375827,-0.197278029,0.479070532
137,0.218031222,-1.051765728,-0.117720837,-0.195892521
138,-0.081382091,-1.008770444,-0.08054643,-0.169311895
139,-0.205692026,-0.362650059,-0.174322815,0.075686704
140,0.099372982,-0.214141715,0.082244766,0.163236339
141,-0.138191803,-0.214141715,0.019541947,-0.25527583
142,0.029017971,0.256531078,-0.072693299,0.089497577
143,0.189378383,0.51137515,0.164598073,0.02077643
144,0.911899062,-0.394414292,-0.184183208,-0.225807674
145,-0.713251952,0.455527716,0.238210649,-0.075431389
146,0.180632387,-0.003679689,-0.017118483,-0.351643364
147,0.054742023,-0.003679689,-0.012982449,0.19877541
148,-0.132324793,0.252599189,0.024608956,0.408549343
149,-0.025231295,0.252599189,-0.053857445,0.133198607
150,-0.132324793,0.634569286,-0.290889324,-1.216798116
151,-0.306264976,0.251169693,0.028148617,-0.177507575
152,0.107178912,0.0868436,-0.048727574,0.337913958
153,-0.02923387,0.0868436,-0.142760947,0.125503981
154,0.000218326,0.500195851,0.013768315,-0.151201499
155,-0.005463272,0.51073194,0.325248655,0.008899033
156,-0.138118234,0.51073194,-0.240127795,-0.137339778
157,0.316652959,0.940439505,0.044191002,-0.188440407
158,-0.132324793,0.101234302,-0.06189277,-0.095271745
159,0.026109603,0.640141599,0.181856341,-0.031939235
160,-0.062033049,0.180745385,0.027189256,0.120681593
161,-0.049032909,0.218471572,-0.064792401,0.023503658
162,0.268967675,0.119442945,0.025560588,0.217421552
163,0.076351111,0.119442945,-0.061251718,-0.1140806
164,-0.118128323,0.211372527,-0.006388112,-0.01188835
165,-0.01320913,-0.244860843,-0.008245028,-0.125677172
166,0.013162256,0.602480043,-0.069083577,-0.266106889
167,-0.155599802,0.215526731,0.014467767,0.151957324
168,-0.039117313,0.301359734,0.044334207,-0.328867065
169,0.112749487,0.037972663,-0.038781518,0.076046339
170,-0.008992943,0.477752498,0.063204827,0.023382437
171,-0.107316785,0.212827303,-0.073783821,0.007202131
172,-0.157046248,0.212827303,0.141065702,-0.147809534
173,-0.147206688,0.127374914,-0.094102089,-0.047334194
174,-0.094301359,0.506676712,-0.035688838,-0.03551216
175,0.355814605,-0.103099854,-0.016866239,-0.131709449
176,0.008922974,0.473272621,0.01024711,0.030642553
177,0.063753771,0.517983053,-0.021751609,-0.316770077
178,0.191644754,0.829967316,0.082920165,0.132744111
179,-0.082902091,0.480568479,-0.020800241,0.041661395
180,0.372331265,-0.161450031,-0.03744396,0.019927989
181,0.196363384,-0.307013962,-0.016227379,-0.081608507
182,-0.02134976,-0.082894897,-0.007424925,-0.040370329
183,-0.212401837,0.12812125,-0.03009986,0.352911762
184,0.006363932,0.016175041,0.09069204,-0.065874593
185,0.139263872,-0.14741554,0.089777789,-0.11010906
186,0.083981687,0.075861654,-0.091305261,-0.072563917
187,-0.101819492,-0.266922828,-0.026838141,0.325153767
188,0.036968752,0.15401747,-0.00033663,0.069777386
189,-0.132324793,0.416326457,0.095109802,-0.147728925
190,-0.016621187,-0.02582613,0.144712409,-0.052499394
191,-1.10901229,0.220959439,-0.064573323,-0.201267381
192,0.392508687,0.10993593,-0.048640016,-0.178737875
193,0.112599883,0.09084853,-0.03260135,0.136875686
194,-0.006679054,0.131865366,0.076070767,-0.455737874
195,0.004272041,-0.095680344,0.053275028,0.004116865
196,-0.208395657,0.12811763,0.013083782,-0.079905552
197,-0.075171714,0.372741904,0.043217498,-0.096305706
198,0.16566108,0.232792261,-0.120224755,-0.04064885
199,0.002010047,0.232792261,-0.041508844,0.095480191
200,-0.097023106,0.349482605,-0.046979276,-0.002300761
201,-0.170803816,0.349482605,0.148768508,0.451037452
202,-0.01970933,0.024703071,-0.025996716,-1.280754168
203,-0.155133578,-0.077884837,0.138871218,0.036696551
204,-0.031413677,-0.67433873,-0.006225475,-1.357043116
205,-0.14942915,-0.646159237,-0.005994457,-0.317542201
206,0.116291716,-0.129868869,-0.117687558,-0.282942543
207,-0.319812032,-0.423350191,0.018366116,0.035306537
208,-0.014352437,-0.30886833,0.053889594,-0.071574338
209,-0.020023473,-2.305606201,-0.025367229,-0.032952243
210,0.109437038,-1.23062458,-0.097737919,-0.073568168
