ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GRAVITY_X,GRAVITY_Y,GRAVITY_Z,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,MAGNETIC_FIELD_X,MAGNETIC_FIELD_Y,MAGNETIC_FIELD_Z,ORIENTATION_Z,ORIENTATION_X,ORIENTATION_Y,PRT_X,PRT_Y,PRT_Z,OUT
3.53314,5.56235,8.18344,2.69414,-2.49299,9.09379,1.34621,7.58601,0.80165,-1.65298,-3.31218,-1.59612,11.339,-32.002,-11.717,198.941,13.579,-12.68,4.782133521,5.229892587,7.756992235,2.5
5.7052,4.99721,8.54289,4.89889,-3.16419,7.88411,3.20239,7.73208,2.34826,-2.26231,-0.27138,-4.06273,10.213,-23.126,-20.654,206.225,18.554,-26.479,6.82309915,4.56569927,7.943682556,2.5
1.32704,3.43716,6.57245,6.48786,-2.15426,7.03116,-3.50753,5.6151,2.3993,-0.76189,-1.87886,-3.19455,15.025,-15.002,-25.342,234.88,12.69,-42.699,2.121588427,3.195635946,6.485289236,2.5
3.14072,3.49069,6.70898,8.12176,-0.60202,5.46306,-4.92029,4.98442,1.70853,-0.9483,-1.34731,-2.51598,11.339,-11.314,-27.092,247.048,7.215,-52.28,3.765176009,3.423467665,6.415821865,2.5
-3.56592,10.80589,5.03629,8.32788,0.26515,5.1717,-10.40572,10.28001,0.32067,-2.06737,-0.05887,-0.95963,9.088,-5.814,-31.779,259.796,-1.549,-58.159,-3.097428513,10.83047349,5.287158183,2.5
-1.5988,8.3965,8.19356,7.83888,0.20265,5.88908,-7.96637,8.52792,4.46849,1.75214,1.01386,1.55388,9.464,-2.127,-30.904,266.657,-1.184,-53.084,-0.749678327,8.42585457,8.284609606,2.5
-1.53226,7.15413,7.79477,7.13416,0.16561,6.72657,-7.07848,6.95222,2.92102,1.57051,1.01653,1.44894,11.339,-8.752,-26.654,252.157,-0.891,-48.362,-0.608700718,7.176994081,7.899878196,2.5
5.29923,6.71419,5.51663,6.97331,0.82764,6.84532,-0.57371,6.02175,0.77307,2.16547,-0.38057,0.39061,10.963,-15.752,-24.092,238.278,-4.037,-45.219,5.918978454,6.78348336,4.748203878,2.5
-0.08165,6.27635,4.04982,5.13739,2.35478,8.01452,-4.11829,4.42612,-2.24749,0.20432,2.24051,-1.30264,18.713,-15.065,-21.092,244.761,-12.958,-35.155,0.48379005,6.436287971,3.760375302,2.5
0.23135,8.35239,3.65201,3.52798,3.01112,8.64042,-2.53689,5.94098,-3.41531,0.62828,2.02107,0.72563,25.713,-15.065,-15.092,247.307,-16.795,-25.306,0.777376378,8.528694661,3.132119397,2.5
4.24585,7.87715,3.364,3.15617,3.42465,8.63022,1.89281,5.11769,-3.65974,0.7428,0.97604,1.25346,26.088,-19.44,-12.529,239.801,-19.843,-20.457,4.702567176,8.023700413,2.213441661,2.5
1.4624,5.57423,4.84563,2.00724,3.26004,9.02849,0.09656,2.96132,-2.2056,-0.04283,1.41547,0.89447,29.776,-20.189,-9.154,235.761,-19.944,-15.277,2.204685044,5.824304912,4.231739606,2.5
1.64958,9.21497,7.99435,1.89313,2.52215,9.28575,0.18845,7.26835,0.82752,-1.98534,-1.17099,0.92163,27.901,-21.689,-9.154,236.963,-17.073,-10.469,2.917919564,9.541516551,7.210521862,2.5
6.23688,7.19446,6.189,2.84289,2.04214,9.16068,4.53797,6.10313,-1.33362,-0.98506,-0.38803,-0.28052,24.213,-21.315,-12.529,234.025,-12.019,-17.241,7.142645433,7.372237233,4.85750782,2.5
4.61755,6.36819,4.74034,3.52454,1.78696,8.97523,1.87303,4.97671,-2.24858,-0.40396,-1.68498,-1.27228,23.901,-18.376,-15.529,239.555,-10.378,-19.781,5.300540798,6.488638943,3.761418231,2.5
1.11327,5.31393,7.43573,3.9949,1.73712,8.78599,-1.83612,3.96142,0.74098,-0.93712,-1.20721,-2.40572,19.838,-8.752,-24.092,257.082,-10.203,-24.451,2.235971647,5.52909365,7.014047119,2.5
-0.91728,6.21855,6.81358,4.77236,1.90889,8.35171,-4.63036,4.73336,0.31564,-1.01436,-1.39311,-1.94232,20.151,-2.127,-23.216,261.454,-11.044,-28.585,0.082115125,6.444092395,6.663600335,2.5
-1.38852,6.50691,6.46312,5.88636,2.28669,7.50281,-5.79846,4.66987,0.16044,-0.39064,-1.82082,-1.02248,12.463,2.31,-26.216,278.178,-12.893,-36.366,-0.532711053,6.764631208,6.32422084,2.5
-0.94537,7.10924,4.85153,6.92482,2.71991,6.389,-7.47038,5.16337,0.2282,-0.08597,-1.75797,-0.11008,3.963,2.31,-27.092,284.879,-16.102,-47.305,-0.39962912,7.335015729,4.583688687,2.5
3.19736,8.85699,5.69031,8.09662,2.72561,4.8152,-6.44268,5.95024,2.31615,0.46158,-2.06209,0.61963,-4.536,3.061,-25.342,283.098,-16.137,-59.259,3.663732653,9.103843351,4.974546212,2.5
1.31256,7.93059,7.97249,8.43239,2.82421,4.13389,-0.77879,6.45518,1.30881,-0.29742,0.80347,-0.80835,-7.474,3.436,-26.216,289.596,-16.738,-63.884,1.883861536,8.308092648,7.456831134,2.5
1.21201,9.32623,7.04558,8.60768,3.09649,3.53411,-9.15595,6.98194,4.23428,1.98064,-0.32784,1.21512,-7.849,1.936,-25.342,289.801,-18.406,-67.678,1.644014204,9.688439778,6.44353038,2.5
0.46809,8.98734,6.79242,8.47984,3.27175,3.68216,-4.63928,7.17057,2.96778,0.13933,0.91533,0.20738,-6.036,-1.003,-25.78,281.897,-18.721,-68.619,0.903343885,9.357831083,6.224413645,2.5
0.16505,7.59384,3.30293,7.84269,3.48756,4.74337,-3.76889,4.73462,-2.47032,-0.76401,2.4003,-0.24696,-2.661,-0.627,-27.467,281.784,-20.654,-60.918,0.437613657,7.779181356,2.809951202,2.5
-0.02852,5.83145,2.71301,6.25223,3.43818,6.72748,-4.75552,3.08509,-2.19511,-0.54031,2.24158,0.0316,7.651,1.936,-25.78,283.982,-21.05,-47.2,0.289497666,5.982737465,2.343093954,2.5
-0.85251,6.08403,6.65526,5.36462,2.98073,7.64895,-5.38925,3.62655,0.53134,-0.16428,0.2016,1.47664,14.651,3.436,-32.591,285.144,-17.695,-35.044,0.040912099,6.424694292,6.384066844,2.5
1.88934,5.95728,7.35101,4.9947,1.62385,8.2817,-1.91886,4.71917,1.03664,-0.81567,1.14915,1.11018,19.463,4.498,-25.78,284.146,-12.787,-34.102,2.928478641,6.153314489,6.830583599,2.5
2.73644,5.55083,7.21989,4.27355,0.10407,8.82589,-0.42151,5.44529,0.92533,-1.41756,0.00879,1.03722,21.275,8.186,-23.216,286.46,-3.578,-26.749,3.811803485,5.563016895,6.704448254,2.5
1.39215,6.46768,9.44273,3.73085,-0.95635,9.01868,-1.88397,7.28786,2.42571,-0.00502,0.62717,0.69261,24.588,11.186,-22.78,287.133,4.984,-23.78,2.855148887,6.314764214,9.214444846,2.5
0.55681,5.11595,13.01273,3.27232,-1.17421,9.16971,-1.67004,6.73424,5.1814,-0.74059,0.87325,0.66118,27.901,12.248,-19.342,287.596,5.951,-20.996,2.623394823,4.853439685,12.85986184,2.5
0.68037,1.47687,11.79689,2.44145,-1.63696,9.35575,-0.87851,3.20397,4.59153,0.41045,0.42636,1.62578,30.525,10.06,-18.529,285.126,9.504,-15.882,2.58906987,1.146914083,11.56684777,2.5
2.25945,2.38124,8.25221,2.15089,-0.77007,9.53683,0.58788,3.03824,0.75672,1.11032,-0.0498,0.65266,34.213,1.936,-17.216,271.985,4.504,-12.71,3.595462416,2.276680434,7.795111567,2.5
3.62349,2.96834,8.47403,2.46707,0.25649,9.48779,1.18456,2.32412,3.04504,2.53085,-1.38991,0.76237,30.901,-1.376,-18.967,272.174,3.598,-12.685,4.970761173,3.003052225,7.747458762,2.5
7.35551,4.18776,4.64626,4.5954,1.74817,8.48508,3.77276,2.65777,-1.84052,1.65308,-2.01895,0.86092,26.463,-11.69,-21.967,260.64,-8.557,-24.568,7.960563483,4.2928916,3.380695772,2.5
6.84517,5.00366,5.48456,5.06838,2.51422,8.01003,2.90062,3.04693,-0.74939,0.92549,-0.20641,-0.16121,22.775,-16.876,-21.092,246.749,-12.165,-31.15,7.542640646,5.195246232,4.253393092,2.5
4.52002,5.84326,2.2242,5.07722,3.21171,7.75095,1.03297,3.21314,-4.05721,-0.13071,-0.21706,-0.72899,23.151,-16.127,-27.092,246.148,-18.724,-33.133,4.77869564,5.923402408,1.264399368,2.5
