Row,DOWN
181,-0.160959793
182,0.069650856
183,0.150736127
184,-0.008786656
185,0.241173483
186,0.403081538
187,0.223260493
188,0.40912821
189,0.033391522
190,-0.114555117
191,-0.347816748
192,-0.34583887
193,-0.208482958
194,-0.093712752
195,-0.000948336
196,0.014919544
197,-0.01728304
198,0.289740177
199,0.303603785
200,0.321202241
201,0.296902419
202,0.108536353
203,0.214844365
204,0.07139041
205,0.030151225
206,-0.143919044
207,-0.39321138
208,-0.297312756
209,-0.310861258
210,-0.260182996
211,-0.28175357
212,-0.093904791
213,-0.172521409
214,0.043939035
215,0.034532999
216,0.050092613
217,0.31032241
218,0.316061573
219,0.249213379
220,0.193427282
221,0.153947817
222,-0.044856337
223,-0.188480761
224,-0.162397849
225,-0.361417875
226,-0.403180315
227,-0.179999024
228,-0.044744526
229,-0.010759296
230,0.291015027
231,0.150283992
232,0.234672371
233,0.362361526
234,0.217772915
235,0.193618439
236,-0.114088668
237,-0.176243244
238,-0.283495265
239,-0.275061699
240,-0.408726439
241,-0.329210742
242,-0.173080965
243,-0.048572729
244,-0.056400864
245,0.309642178
246,0.196524702
247,0.432712441
248,0.373964234
249,0.395491306
250,0.225313959
251,-0.050156617
252,0.155781352
253,-0.386255847
254,-0.232374154
255,-0.218196498
256,-0.303507969
257,-0.085459814
258,-0.013993348
259,0.120728625
260,0.011659846
261,0.100579455
262,0.295799171
263,0.375777342
264,0.318852966
265,0.297821536
266,0.193702203
267,0.267225212
268,0.084474117
269,-0.049467057
270,-0.169953586
271,-0.17403009
272,-0.202563008
273,-0.432488533
274,-0.324330015
275,-0.297874804
276,-0.040284423
277,-0.019297346
278,-0.099970536
279,-0.141571845
280,0.05256669
281,0.330148746
282,0.300007301
283,0.367339028
284,0.459250043
285,0.311297893
286,0.385463842
287,0.263283444
288,0.133745634
289,-0.219065722
290,-0.090837083
291,-0.408613275
292,-0.405095684
293,-0.333920378
294,-0.17084035
295,-0.050528302
296,-0.040206917
297,-0.089892488
298,0.208431318
299,0.133725124
300,0.318956466
301,0.101803813
302,0.26669542
303,0.16054237
304,0.076341815
305,-0.227526417
306,-0.342971654
307,-0.322918014
308,-0.192327005
309,-0.161060794
310,-0.075020393
311,0.119826348
312,0.19079974
313,0.352261981
314,0.279125724
315,0.23822462
316,0.244373802
317,0.142900709
318,0.1057593
319,-0.202934534
320,-0.186749206
321,-0.349507471
322,-0.307591927
323,-0.289360154
324,-0.216096781
325,-0.095349219
326,0.002595366
327,-0.067471444
328,0.350530744
329,0.36399577
330,0.185430104
331,0.121958725
332,-0.03521373
333,-0.187469802
334,-0.337816855
335,0.133347098
336,0.244270623
337,0.375030662
338,0.327218042
339,0.252920562
340,0.146486902
341,0.018331239
342,-0.058410592
343,-0.299194646
344,-0.244086563
345,-0.339660135
346,-0.33313515
347,-0.003674774
348,0.147869864
349,0.213181858
350,0.269718644
351,0.071112707
352,-0.275766459
353,-0.247499291
354,-0.147342285
355,0.268668778
356,0.392070368
357,0.320682835
358,0.359695349
359,0.437638372
360,0.173179544
361,-0.014837303
