ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,OUT
0.292,10.341,2.423,-0.098,9.77,0.836,0.402,0.611,1.633,0.004,0.947,0.04,25,-28,-23.8,12.2,124.6,-85.3,6.8,3,999.9,62.35,,,,NaN,,,,,0 / 0,598035,2018-08-27 12:54:14:909,0.19
0.544,10.118,0.79,0.098,9.775,0.776,0.409,0.419,-0.132,-0.151,0.861,0.501,25,-30.7,-23.8,10.1,115.6,-85.4,2.5,3,999.9,62.35,,,,NaN,,,,,0 / 0,598135,2018-08-27 12:54:15:009,0.19
-0.06,10.192,1.058,0.31,9.766,0.841,-0.408,0.436,0.143,0.215,0.581,0.085,31,-31.7,-22.2,7,89.9,-84.6,-17.8,3,999.9,62.35,,,,NaN,,,,,0 / 0,598236,2018-08-27 12:54:15:110,0.19
0.845,9.706,0.599,0.359,9.765,0.826,0.486,-0.059,-0.227,-0.107,0.463,-0.022,30,-32.1,-22.5,5.4,78,-84.9,-24.3,3,999.9,62.35,,,,NaN,,,,,0 / 0,598335,2018-08-27 12:54:15:209,0.19
0.505,9.69,-0.031,0.168,9.777,0.737,0.311,-0.138,-0.531,0.401,0.515,-0.295,30,-32.6,-22.1,4.6,86.4,-85.1,-15.5,3,999.9,64.38,,,,NaN,,,,,0 / 0,598436,2018-08-27 12:54:15:310,0.19
1.216,9.309,0.383,0.147,9.783,0.665,1.174,-0.438,-0.358,-0.281,0.713,0.067,25,-33.1,-23.1,2.9,85.8,-86.3,-11.9,3,999.9,64.38,,,,NaN,,,,,0 / 0,598535,2018-08-27 12:54:15:409,0.19
-0.038,11.088,1.844,0.1,9.782,0.685,0.063,1.445,0.969,-0.149,1.387,0.092,25,-33.1,-22.1,-0.5,83,-86,-9.6,3,999.9,64.38,,,,NaN,,,,,0 / 0,598635,2018-08-27 12:54:15:509,0.19
1.686,8.555,-0.182,0.35,9.749,1.003,1.335,-1.194,-1.185,-0.405,1.02,0.4,30,-33.5,-21.7,-4,71.1,-84.7,-15.5,3,999.9,66.7,,,,NaN,,,,,0 / 0,598735,2018-08-27 12:54:15:609,0.19
1.575,10.178,1.65,0.568,9.715,1.212,1.02,0.43,0.426,0.069,1.392,0.107,30,-32.6,-20.1,-9.2,55.1,-82.5,-23.6,3,999.9,66.7,,,,NaN,,,,,0 / 0,598835,2018-08-27 12:54:15:709,0.19
1.343,9.627,1.664,0.78,9.677,1.384,0.556,-0.014,0.375,-0.118,0.937,0.396,83,-32.1,-20.4,-14.8,40.3,-81.1,-28.2,3,999.9,66.7,,,,NaN,,,,,0 / 0,598936,2018-08-27 12:54:15:810,0.19
1.362,9.608,0.819,0.849,9.658,1.473,0.515,-0.043,-0.676,-0.063,1.174,0.014,83,-30.4,-18.4,-17.5,33.6,-80.1,-31,3,999.9,63.96,,,,NaN,,,,,0 / 0,599035,2018-08-27 12:54:15:909,0.19
0.912,9.975,1.472,0.602,9.667,1.537,0.363,0.241,0.115,0.173,1.008,-0.287,84,-29.7,-18.7,-20.9,32.3,-80,-25.9,3,999.9,63.96,,,,NaN,,,,,0 / 0,599136,2018-08-27 12:54:16:010,0.19
1.223,10.767,2.512,0.329,9.697,1.425,1.105,1.013,0.445,0.156,0.695,-0.157,66,-27.5,-19.3,-23.8,38.5,-81.4,-13,3,999.9,63.96,,,,NaN,,,,,0 / 0,599235,2018-08-27 12:54:16:109,0.19
1.03,10.822,1.008,0.362,9.76,0.884,0.646,1.158,0.085,0.357,-0.033,0.397,66,-25.4,-20.3,-24.7,30.2,-84.1,-16.6,3,999.9,62.78,,,,NaN,,,,,0 / 0,599335,2018-08-27 12:54:16:209,0.19
0.01,9.357,1.075,0.672,9.764,0.612,-0.686,-0.29,0.573,0.322,-0.477,0.318,41,-27.1,-21,-23.3,7.6,-84.7,-42.4,3,999.9,62.78,,,,NaN,,,,,0 / 0,599435,2018-08-27 12:54:16:309,0.19
1.197,8.794,0.134,0.982,9.75,0.383,0.275,-1.229,0.007,0.358,-1.009,0.107,41,-28.3,-21.1,-21.1,350.4,-84.1,-60.8,3,999.9,62.78,,,,NaN,,,,,0 / 0,599535,2018-08-27 12:54:16:409,0.19
0.491,10.157,0.496,1.096,9.745,0.022,-0.605,0.411,0.474,-0.061,-1.196,0.257,44,-29.8,-21.6,-20.3,326.6,-83.8,-87.5,3,999.9,62.78,,,,NaN,,,,,0 / 0,599635,2018-08-27 12:54:16:509,0.19
0.658,10.015,0.663,1.214,9.731,-0.095,-0.496,0.225,0.679,0.005,-1.659,0.161,44,-32.8,-21.3,-14.2,330.3,-83,-91.6,3,999.9,62.2,,,,NaN,,,,,0 / 0,599735,2018-08-27 12:54:16:609,0.19
0.582,9.706,0.558,1.306,9.716,-0.258,-0.719,0,0.831,0.313,-2.252,0.155,58,-35.3,-20.8,-7.1,339,-82.3,-97.9,3,999.9,62.2,,,,NaN,,,,,0 / 0,599835,2018-08-27 12:54:16:709,0.19
0.606,9.941,-0.239,1.322,9.703,-0.533,-0.699,0.234,0.284,-0.373,-2.921,0.231,58,-36.8,-20,0.1,336.4,-81.7,-111.6,3,999.9,62.2,,,,NaN,,,,,0 / 0,599935,2018-08-27 12:54:16:809,0.19
1.477,8.914,-0.606,1.401,9.696,-0.435,-0.099,-0.914,0.145,-0.663,-2.466,0.147,22,-33.6,-19.3,10.4,353.1,-81.4,-110.7,3,999.9,63,,,,NaN,,,,,0 / 0,600035,2018-08-27 12:54:16:909,0.19
3.297,9.18,-2.356,1.423,9.696,-0.369,1.23,-0.938,-1.857,-0.815,-2.26,0.279,25,-31.3,-19.3,16.9,10.4,-81.5,-105.7,3,999.9,63,,,,NaN,,,,,0 / 0,600135,2018-08-27 12:54:17:009,0.19
2.392,10.573,0.251,1.723,9.65,0.292,0.772,0.911,-0.258,-0.864,-0.438,-0.122,25,-27.1,-20.1,21.1,47.7,-80.1,-85,3,999.9,63,,,,NaN,,,,,0 / 0,600235,2018-08-27 12:54:17:109,0.19
2.65,9.941,0.697,1.743,9.615,0.823,0.902,0.328,-0.028,-0.738,-1.938,-0.205,30,-23.9,-23.6,21.6,67.7,-79.1,-69.9,3,999.9,65.44,,,,NaN,,,,,0 / 0,600336,2018-08-27 12:54:17:210,0.19
1.331,10.444,0.57,1.55,9.657,0.713,-0.107,0.801,-0.086,0.342,-0.891,-0.416,30,-18.2,-24.4,23.3,88.3,-78.9,-62.5,3,999.9,65.44,,,,NaN,,,,,0 / 0,600435,2018-08-27 12:54:17:309,0.19
0.848,9.194,-0.134,1.462,9.685,0.475,-0.842,-0.089,-0.504,-0.113,-1.026,0.19,30,-16,-25,25.8,86,-81,-69.8,3,999.9,65.44,,,,NaN,,,,,0 / 0,600535,2018-08-27 12:54:17:409,0.19
1.365,9.457,-0.113,1.558,9.673,0.425,-0.237,-0.235,-0.418,0.063,-0.369,0.032,30,-13.6,-25,27.5,87.5,-80.5,-73.7,3,999.9,62.5,,,,NaN,,,,,0 / 0,600635,2018-08-27 12:54:17:509,0.19
1.504,10.202,-0.362,1.516,9.68,0.42,-0.147,0.156,-0.513,0.017,-0.003,-0.179,29,-13.1,-25.2,26.9,87.8,-80.5,-74.6,3,999.9,62.5,,,,NaN,,,,,0 / 0,600735,2018-08-27 12:54:17:609,0.19
0.146,10.511,1.798,1.345,9.7,0.512,-1.142,0.822,1.195,0.298,0.45,-0.09,29,-11.9,-26.2,26.9,94.2,-81.3,-69.5,3,999.9,62.5,,,,NaN,,,,,0 / 0,600836,2018-08-27 12:54:17:710,0.19
1.8,10.971,0.843,1.45,9.684,0.527,0.082,1.123,0.551,-0.414,-0.332,0.225,30,-13.6,-25.3,26.8,87.4,-81.7,-73.2,3,999.9,63.16,,,,NaN,,,,,0 / 0,600935,2018-08-27 12:54:17:809,0.19
0.721,8.538,0.175,1.456,9.679,0.6,-0.711,-1.206,-0.495,-0.015,-0.199,-0.03,34,-12.8,-25.7,26.6,94.6,-80.6,-67.9,3,999.9,63.16,,,,NaN,,,,,0 / 0,601035,2018-08-27 12:54:17:909,0.19
1.834,8.734,-0.041,1.386,9.681,0.732,0.465,-0.884,-0.816,-0.304,-0.322,-0.16,34,-12.8,-25.9,25.7,96.5,-80.8,-65.2,3,999.9,63.16,,,,NaN,,,,,0 / 0,601136,2018-08-27 12:54:18:010,0.19
1.053,9.951,0.599,1.211,9.697,0.818,0.032,0.244,-0.167,0.175,-0.194,-0.433,34,-10.3,-26.1,26.5,106.7,-81.1,-56.7,3,999.9,63.16,,,,NaN,,,,,0 / 0,601235,2018-08-27 12:54:18:109,0.19
-0.972,10.722,-0.958,0.686,9.778,0.295,-1.642,0.917,-1.217,0.725,-0.196,-0.468,34,-8.5,-26.1,26.7,108.5,-83.8,-58.1,3,999.9,64.76,,,,NaN,,,,,0 / 0,601335,2018-08-27 12:54:18:209,0.19
0.62,10.374,-0.156,0.56,9.79,0.117,-0.074,0.685,-0.117,-0.528,-0.869,0.276,28,-6.9,-25.3,28.6,85.6,-86.9,-83,3,999.9,64.76,,,,NaN,,,,,0 / 0,601435,2018-08-27 12:54:18:309,0.19
1.391,10.585,1.171,0.686,9.778,0.315,0.691,0.678,0.832,-0.023,-0.199,0.052,28,-6.4,-26.6,27.2,107.1,-85.6,-64.4,3,999.9,64.76,,,,NaN,,,,,0 / 0,601536,2018-08-27 12:54:18:410,0.19
0.68,8.981,3.213,0.826,9.747,0.696,-0.299,-0.378,2.764,-0.437,-0.684,0.328,26,-6.4,-27.1,26.8,114.7,-85,-57.4,3,999.9,64.08,,,,NaN,,,,,0 / 0,601635,2018-08-27 12:54:18:509,0.19
2.967,9,0.508,1.132,9.67,1.174,1.861,-0.502,-0.724,-0.321,-1.012,-0.191,26,-4.4,-27.5,26,133.4,-80.8,-44.4,3,999.9,64.08,,,,NaN,,,,,0 / 0,601735,2018-08-27 12:54:18:609,0.19
-0.022,10.437,3.22,0.844,9.712,1.069,-0.859,0.632,2.046,0.451,0.426,-0.173,27,-2.2,-28,25.4,142,-80.8,-39.4,3,999.9,64.08,,,,NaN,,,,,0 / 0,601836,2018-08-27 12:54:18:710,0.19
1.614,8.232,0.718,1.014,9.653,1.403,0.715,-1.309,-0.601,-0.352,-0.199,0.112,24,-2.3,-27.7,25.6,145,-80.3,-36.2,3,999.9,63.3,,,,NaN,,,,,0 / 0,601935,2018-08-27 12:54:18:809,0.19
1.013,9.805,2.006,0.837,9.646,1.558,-0.021,0.312,0.798,-0.05,1.102,-0.203,24,-1.4,-27.8,24.4,150.6,-79.5,-32.5,3,999.9,63.3,,,,NaN,,,,,0 / 0,602035,2018-08-27 12:54:18:909,0.19
0.752,10.3,1.911,0.638,9.635,1.709,0.085,0.672,0.123,0.16,1.288,-0.008,23,-3.7,-26.7,24.1,153.8,-79.2,-21.6,3,999.9,63.3,,,,NaN,,,,,0 / 0,602135,2018-08-27 12:54:19:009,0.19
-0.091,9.733,0.651,0.425,9.656,1.658,-0.55,-0.019,-1.096,-0.118,1.895,0.2,23,-8.2,-26.8,22.3,151.6,-79.9,-16.5,3,999.9,63.65,,,,NaN,,,,,0 / 0,602235,2018-08-27 12:54:19:109,0.19
-1.25,9.113,1.772,0.092,9.64,1.797,-1.339,-0.487,-0.037,-0.22,1.881,0.225,22,-15.2,-27.7,20.6,145.1,-79.7,-5.3,3,999.9,63.65,,,,NaN,,,,,0 / 0,602336,2018-08-27 12:54:19:210,0.19
-1.015,10.197,2.327,-0.334,9.611,1.918,-0.744,0.705,0.326,0.152,2.128,-0.146,22,-19.9,-27.9,17,144.9,-78.4,3.2,3,999.9,63.65,,,,NaN,,,,,0 / 0,602435,2018-08-27 12:54:19:309,0.19
-1.415,9.546,2.155,-0.531,9.605,1.906,-0.884,-0.059,0.249,-0.336,1.577,0.59,20,-23.6,-27.7,14.5,146.1,-78.7,15.7,3,999.9,63.65,,,,NaN,,,,,0 / 0,602535,2018-08-27 12:54:19:409,0.19
-0.022,9.551,1.721,-0.391,9.605,1.94,0.341,-0.131,-0.398,-0.003,1.567,0.439,20,-27,-26.6,9.4,128.5,-78.2,11.8,3,999.9,57.44,,,,NaN,,,,,0 / 0,602635,2018-08-27 12:54:19:509,0.19
-0.091,10.07,1.781,-0.275,9.641,1.771,0.232,0.4,0.116,0.263,1.135,0.328,62,-29.7,-25.3,5,119.6,-78.8,9.7,3,999.9,57.44,,,,NaN,,,,,0 / 0,602735,2018-08-27 12:54:19:609,0.19
-0.632,9.271,1.506,-0.075,9.68,1.569,-0.557,-0.409,-0.063,0.167,0.743,0.327,99,-30.5,-24.5,3.6,108.8,-80.6,4.3,3,999.9,57.44,,,,NaN,,,,,0 / 0,602835,2018-08-27 12:54:19:709,0.19
0.527,10.039,0.654,0.06,9.719,1.31,0.428,0.33,-0.613,0.151,0.35,0.231,99,-32.3,-22.7,1,97.4,-81.7,-0.1,3,999.9,55.62,,,,NaN,,,,,0 / 0,602935,2018-08-27 12:54:19:809,0.19
-0.608,9.697,1.384,-0.012,9.76,0.96,-0.605,-0.017,0.438,0.553,0.75,0.04,65,-32,-22.7,-0.1,94,-83.7,-0.5,3,999.9,55.62,,,,NaN,,,,,0 / 0,603035,2018-08-27 12:54:19:909,0.19
1.88,10.669,-2.1,0.008,9.791,0.549,2.073,0.641,-2.9,0.019,1.307,-0.206,65,-32.7,-23.3,-1.3,91.4,-85.9,0.2,3,999.9,55.62,,,,NaN,,,,,0 / 0,603136,2018-08-27 12:54:20:010,0.19
-0.649,9.615,0.654,-0.143,9.802,0.249,-0.568,-0.158,0.443,-0.287,1.578,0.087,82,-32.8,-24.1,-5.6,108.4,-88.4,27.6,3,999.9,60.03,,,,NaN,,,,,0 / 0,603235,2018-08-27 12:54:20:109,0.19
1.547,8.993,0.943,0.152,9.787,0.595,1.299,-0.476,0.471,-0.019,1.529,0.148,82,-31.1,-23.3,-12.4,67.9,-86.9,-5.2,3,999.9,60.03,,,,NaN,,,,,0 / 0,603335,2018-08-27 12:54:20:209,0.19
1.006,10.748,1.571,0.308,9.783,0.609,0.643,0.994,0.976,-0.114,1.156,0.362,68,-29.8,-21.7,-16,49,-86.4,-17.8,3,999.9,60.03,,,,NaN,,,,,0 / 0,603435,2018-08-27 12:54:20:309,0.19
1.789,9.412,0.28,0.601,9.752,0.839,1.189,-0.46,-0.386,0.176,0.503,-0.044,68,-29.3,-20.6,-18.9,23.6,-84,-34.7,3,999.9,60.22,,,,NaN,,,,,0 / 0,603535,2018-08-27 12:54:20:409,0.19
1.573,9.879,1.018,0.641,9.76,0.713,0.916,0.117,0.331,0.21,0.11,-0.094,49,-27.7,-21.3,-20.8,14.9,-84.3,-40.6,3,999.9,60.22,,,,NaN,,,,,0 / 0,603635,2018-08-27 12:54:20:509,0.19
1.654,11.244,0.28,0.644,9.772,0.517,1.065,1.457,-0.335,-0.147,-0.356,-0.165,43,-28.6,-21.2,-19.7,5.8,-85,-49,3,999.9,60.22,,,,NaN,,,,,0 / 0,603736,2018-08-27 12:54:20:610,0.19
0.479,10.054,-0.215,0.528,9.787,0.323,0.073,0.398,-0.5,0.328,-0.74,-0.236,43,-28.9,-22.5,-18.7,1.5,-86,-55.3,3,999.9,61.97,,,,NaN,,,,,0 / 0,603835,2018-08-27 12:54:20:709,0.19
0.352,9.091,0.378,0.612,9.786,0.178,0.023,-0.57,-0.116,0.307,-0.951,0.191,65,-30.7,-23.7,-16.3,358.6,-86.5,-63.2,3,999.9,61.97,,,,NaN,,,,,0 / 0,603935,2018-08-27 12:54:20:809,0.19
1.391,9.953,1.034,0.816,9.773,-0.025,0.451,0.377,1.208,0.017,-1.015,0.195,65,-31.6,-23.3,-12.7,335.7,-85.5,-90.8,3,999.9,61.97,,,,NaN,,,,,0 / 0,604035,2018-08-27 12:54:20:909,0.19
1.121,9.426,0.725,1.152,9.739,-0.024,0.079,-0.339,0.75,-0.081,-2.044,0.437,76,-33.4,-21.7,-9.8,339.6,-84.2,-91.1,3,999.9,61.97,,,,NaN,,,,,0 / 0,604135,2018-08-27 12:54:21:009,0.19
0.96,10.748,0.261,1.563,9.679,-0.21,-0.412,0.894,0.871,-0.182,-2.426,0.678,76,-35.3,-20.3,-1.1,350.4,-81.5,-97,3,999.9,61.55,,,,NaN,,,,,0 / 0,604235,2018-08-27 12:54:21:109,0.19
1.82,9.323,0.879,1.811,9.632,-0.349,-0.283,-0.265,1.51,-0.213,-2.618,-0.009,65,-35,-18.9,6.8,359.8,-79.1,-99.6,3,999.9,61.55,,,,NaN,,,,,0 / 0,604335,2018-08-27 12:54:21:209,0.19
1.992,9.589,-0.309,1.833,9.631,-0.226,0.18,0.236,-0.337,-0.48,-3.174,0.052,65,-31.5,-19.3,16.6,24.3,-79.1,-97.2,3,999.9,61.55,,,,NaN,,,,,0 / 0,604435,2018-08-27 12:54:21:309,0.19
1.762,8.253,1.099,2.058,9.588,-0.025,-0.135,-1.369,0.854,-0.689,-2.722,0.381,25,-25.6,-19.1,23.4,40.4,-78.6,-94.6,3,999.9,65.75,,,,NaN,,,,,0 / 0,604536,2018-08-27 12:54:21:410,0.19
3.414,10.243,-0.639,2.239,9.546,0.159,1.168,0.771,-0.899,-0.833,-1.905,0.157,23,-19.4,-20.7,27.7,66.4,-77.1,-87.4,3,999.9,65.75,,,,NaN,,,,,0 / 0,604635,2018-08-27 12:54:21:509,0.19
1.537,10.549,1.178,2.36,9.501,0.57,-0.988,1.146,0.459,-0.657,-1.249,-0.133,23,-14.5,-22.4,28.7,82,-75.8,-80,3,999.9,65.75,,,,NaN,,,,,0 / 0,604736,2018-08-27 12:54:21:610,0.19
1.64,9.795,0.318,2.143,9.556,0.514,-0.56,0.356,-0.488,0.074,-1.152,-0.397,25,-9.8,-25.6,29.5,96.9,-76.5,-75.5,3,999.9,58.3,,,,NaN,,,,,0 / 0,604835,2018-08-27 12:54:21:709,0.19
1.666,8.619,-0.697,1.972,9.599,0.364,-0.391,-0.913,-0.867,-0.187,-1.045,-0.08,25,-6.5,-25.1,29.4,97.3,-78,-79.2,3,999.9,58.3,,,,NaN,,,,,0 / 0,604936,2018-08-27 12:54:21:810,0.19
1.451,9.498,-0.594,1.793,9.639,0.223,-0.342,-0.141,-0.816,-0.135,-0.031,-0.116,27,-4.1,-25.6,28.9,100.2,-78.9,-81.2,3,999.9,58.3,,,,NaN,,,,,0 / 0,605035,2018-08-27 12:54:21:909,0.19
2.325,10.623,-0.223,1.736,9.646,0.331,0.675,0.915,-0.542,-0.107,-0.12,-0.053,27,-3.4,-26.4,29,103.7,-79.6,-79.3,3,999.9,62.67,,,,NaN,,,,,0 / 0,605135,2018-08-27 12:54:22:009,0.19
0.764,10.851,1.135,1.658,9.658,0.385,-0.853,1.152,0.747,0.452,0.022,-0.108,30,-2.2,-26.3,28.4,109.3,-79.6,-75.7,3,999.9,62.67,,,,NaN,,,,,0 / 0,605235,2018-08-27 12:54:22:109,0.19
1.439,10.429,0.436,1.622,9.672,0.003,-0.277,0.746,0.358,0.376,0.013,0.001,30,-1.3,-25.4,29.2,98.4,-80.4,-87.8,3,999.9,62.67,,,,NaN,,,,,0 / 0,605335,2018-08-27 12:54:22:209,0.19
1.006,8.514,-0.299,1.611,9.673,0.026,-0.605,-1.159,-0.326,-0.319,-0.194,0.076,29,-2.9,-25.2,29.9,92.6,-80.6,-91.5,3,999.9,62.67,,,,NaN,,,,,0 / 0,605435,2018-08-27 12:54:22:309,0.19
1.614,9.575,0.16,1.397,9.703,0.266,0.21,-0.179,-0.16,-0.086,-0.287,-0.397,30,-1,-25.7,29,104.7,-81.1,-80.7,3,999.9,55.54,,,,NaN,,,,,0 / 0,605535,2018-08-27 12:54:22:409,0.19
1.147,10.463,0.608,1.123,9.738,0.299,0.05,0.721,0.336,-0.019,-0.67,-0.217,30,1.5,-26.2,28.8,109.8,-82.7,-76.5,3,999.9,55.54,,,,NaN,,,,,0 / 0,605635,2018-08-27 12:54:22:509,0.19
0.532,9.606,0.215,1.113,9.74,0.244,-0.581,-0.134,-0.029,-0.039,-0.806,0.101,29,3.3,-26.5,26.4,112.9,-83.4,-76.9,3,999.9,55.54,,,,NaN,,,,,0 / 0,605735,2018-08-27 12:54:22:609,0.19
1.183,10.056,0.656,1.196,9.733,0.114,0.02,0.28,0.478,0.142,-0.7,-0.025,29,5.9,-26.7,25.3,117.3,-82.9,-82.7,3,999.9,57.64,,,,NaN,,,,,0 / 0,605835,2018-08-27 12:54:22:709,0.19
1.02,10.863,-0.005,1.208,9.731,-0.099,-0.188,1.131,0.094,-0.146,-1.102,0.186,26,8.3,-26,26.8,109.9,-83.1,-94.1,3,999.9,57.64,,,,NaN,,,,,0 / 0,605935,2018-08-27 12:54:22:809,0.19
0.304,9.311,-0.297,1.352,9.712,0.097,-1.048,-0.401,-0.394,-0.044,-0.927,0.096,26,9.8,-26.8,26.2,117.5,-82.4,-87.2,3,999.9,57.64,,,,NaN,,,,,0 / 0,606035,2018-08-27 12:54:22:909,0.19
1.453,9.68,-0.105,1.13,9.738,-0.255,0.232,-0.072,0.324,0.358,-0.593,-0.091,24,10.8,-26.5,26,109.9,-83.1,-99,3,999.9,58.31,,,,NaN,,,,,0 / 0,606135,2018-08-27 12:54:23:009,0.19
0.323,9.335,0.5,1.058,9.748,-0.132,-0.75,-0.31,0.894,-0.072,0.486,-0.052,24,11.8,-26.3,26.3,111,-83.6,-100.9,3,999.9,58.31,,,,NaN,,,,,0 / 0,606235,2018-08-27 12:54:23:109,0.19
1.384,8.892,0.134,1.041,9.746,0.324,0.279,-1.016,-0.048,-0.54,0.291,-0.103,22,11.9,-26.9,25.7,125.1,-83.8,-82.4,3,999.9,58.31,,,,NaN,,,,,0 / 0,606335,2018-08-27 12:54:23:209,0.19
0.931,10.492,1.168,0.81,9.753,0.622,0.248,0.724,0.467,-0.312,0.847,-0.218,21,11,-28.6,25.3,153.9,-84,-52.5,3,999.9,65.15,,,,NaN,,,,,0 / 0,606435,2018-08-27 12:54:23:309,0.19
1.173,10.394,1.635,0.675,9.744,0.875,0.611,0.522,0.808,0.167,1.384,-0.047,21,9.4,-28.5,24.4,162.3,-83.5,-39.5,3,999.9,65.15,,,,NaN,,,,,0 / 0,606535,2018-08-27 12:54:23:409,0.19
1.439,9.5,0.618,0.637,9.743,0.92,0.665,-0.055,-0.063,-0.186,1.559,0.047,17,5.2,-28.3,26.9,158.8,-83.7,-36,3,999.9,65.15,,,,NaN,,,,,0 / 0,606636,2018-08-27 12:54:23:510,0.19
-0.634,8.916,2.638,0.486,9.726,1.158,-1.058,-0.778,1.911,0.083,1.77,0.097,17,0.6,-28.3,27.3,159.9,-82.7,-24.6,3,999.9,62.98,,,,NaN,,,,,0 / 0,606735,2018-08-27 12:54:23:609,0.19
-0.62,9.9,2.459,0.277,9.7,1.418,-0.918,0.217,0.983,-0.007,1.878,0.05,14,-5.6,-29,27,159.9,-81.8,-14.7,3,999.9,62.98,,,,NaN,,,,,0 / 0,606835,2018-08-27 12:54:23:709,0.19
-1.76,10.054,0.867,-0.253,9.72,1.274,-1.536,0.353,-0.384,0.063,1.932,0.013,14,-10.7,-28.2,25.3,165.1,-82.3,7,3,999.9,62.98,,,,NaN,,,,,0 / 0,606935,2018-08-27 12:54:23:809,0.19
-0.014,9.369,2.562,-0.259,9.646,1.75,0.087,-0.215,0.848,-0.492,1.241,0.366,12,-14.6,-28.6,23,159.9,-80.3,9.8,3,999.9,62.98,,,,NaN,,,,,0 / 0,607035,2018-08-27 12:54:23:909,0.19
-0.136,9.465,1.901,-0.246,9.603,1.974,0.088,-0.023,0.045,-0.061,0.982,0.178,12,-19.1,-28.8,19.1,150.6,-78.5,7,3,999.9,60.63,,,,NaN,,,,,0 / 0,607135,2018-08-27 12:54:24:009,0.19
-1.329,10.243,2.425,-0.309,9.601,1.972,-0.988,0.608,0.439,0.061,0.783,0.177,15,-20.6,-29.1,17.2,144.1,-78.2,8.3,3,999.9,60.63,,,,NaN,,,,,0 / 0,607235,2018-08-27 12:54:24:109,0.19
-1.425,9.371,2.193,-0.314,9.603,1.965,-1.111,-0.231,0.228,0.095,0.598,0.254,18,-22.6,-28.2,16.6,141.8,-78.2,8.9,3,999.9,60.63,,,,NaN,,,,,0 / 0,607335,2018-08-27 12:54:24:209,0.19
0.148,9.292,2.564,-0.211,9.572,2.122,0.288,-0.258,0.488,-0.119,0.531,0.163,18,-24.1,-27.6,13.7,137,-78.2,7.5,3,999.9,55,,,,NaN,,,,,0 / 0,607435,2018-08-27 12:54:24:309,0.19
1.13,9.967,1.42,-0.211,9.562,2.169,1.441,0.468,-0.799,-0.141,0.489,0.087,26,-25.1,-27,12.7,133.1,-77.2,5.7,3,999.9,55,,,,NaN,,,,,0 / 0,607535,2018-08-27 12:54:24:409,0.19
0.941,10.583,2.935,-0.097,9.545,2.247,1.036,1.444,0.949,0.026,0.621,0.218,26,-26.1,-27.9,11,128.1,-76.9,3.9,3,999.9,55,,,,NaN,,,,,0 / 0,607635,2018-08-27 12:54:24:509,0.19
2.047,8.782,1.018,0.209,9.555,2.196,1.805,-0.8,-1.2,0.019,0.482,0.206,24,-27,-27.5,9.7,120.8,-76.8,-0.8,3,999.9,59.67,,,,NaN,,,,,0 / 0,607735,2018-08-27 12:54:24:609,0.19
2.909,9.599,2.15,0.671,9.539,2.176,2.305,0.06,-0.022,-0.028,0.063,0.206,24,-28.6,-26.5,8.5,108.2,-77,-10.7,3,999.9,59.67,,,,NaN,,,,,0 / 0,607835,2018-08-27 12:54:24:709,0.19
2.586,10.001,1.41,1.079,9.532,2.036,1.507,0.469,-0.626,0.17,-0.473,-0.024,24,-28.4,-26,8.6,93.3,-76.3,-24.9,3,999.9,59.67,,,,NaN,,,,,0 / 0,607936,2018-08-27 12:54:24:810,0.19
2.234,9.709,2.205,1.237,9.557,1.816,0.997,0.151,0.389,0.241,-0.875,-0.427,24,-27.6,-25.9,10.4,89.9,-76.5,-31.8,3,999.9,59.15,,,,NaN,,,,,0 / 0,608035,2018-08-27 12:54:24:909,0.19
1.283,9.948,2.516,1.042,9.642,1.453,0.364,0.253,0.918,0.172,-1.615,-0.634,23,-25.6,-26.9,13.9,91.2,-78.3,-35.3,3,999.9,59.15,,,,NaN,,,,,0 / 0,608136,2018-08-27 12:54:25:010,0.19
0.441,10.269,1.705,0.667,9.73,1.03,-0.332,0.614,0.787,0.383,-1.841,-0.413,24,-20.9,-27.5,18.5,99.8,-81,-33.9,3,999.9,59.15,,,,NaN,,,,,0 / 0,608235,2018-08-27 12:54:25:109,0.19
0.196,9.615,1.743,0.53,9.77,0.663,-0.338,-0.147,1.109,0.608,-1.626,-0.122,24,-15.8,-26.8,22.9,113.7,-83.8,-33.8,3,999.9,61.93,,,,NaN,,,,,0 / 0,608336,2018-08-27 12:54:25:210,0.19
