ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER Z,GRAVITY X,GRAVITY Y ,GRAVITY Z ,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z ,GYROSCOPE X,GYROSCOPE Y,GYROSCOPE Z,LIGHT,MAGNETIC FIELD X,MAGNETIC FIELD Y ,MAGNETIC FIELD Z ,ORIENTATION Z,ORIENTATION X,ORIENTATION Y,PROXIMITY,ATMOSPHERIC PRESSURE,SOUND LEVEL,OUT,,,,,,,,
-1.1325,7.9179,2.3608,0.3576,9.6102,1.9201,-0.3983,-1.3044,-1.6136,-0.0054,0.6435,-0.2077,4796,-0.54,-30.18,30.66,169.42,-78.51,-10.55,3.1,993.73,46.879,0,,,,,,,,
0.7757,9.4598,-0.0479,-0.158,9.6888,1.5076,1.3288,-0.2697,-1.5172,-0.0219,-0.8922,-0.1527,4869,1.98,-28.26,31.38,188.59,-81.11,5.98,3.1,993.75,45.554,0,,,,,,,,
-1.439,10.0775,3.8859,-0.238,9.6613,1.6652,0.4774,1.666,1.9382,-0.4685,0.1493,0.0641,4709,0.12,-29.34,29.88,187.07,-80.12,8.13,3.1,993.75,45.557,0,,,,,,,,
-0.6058,10.9754,3.0886,-0.7954,9.7357,0.8686,0.1896,1.2397,2.22,0.2652,-0.3504,0.2877,4865,0.96,-27.36,32.16,220.68,-83.1,42.48,3.1,993.76,46.595,0,,,,,,,,
-0.5842,13.1015,1.3192,-0.3369,9.7964,0.2953,0.301,3.1327,-1.6624,-0.9235,-0.2123,-0.0159,4767,0.72,-25.8,34.68,228.97,-87.38,48.77,3.1,993.75,47.534,0,,,,,,,,
1.4461,11.9977,-0.4382,0.2221,9.7665,0.8577,0.556,2.4443,-0.0412,-0.1972,-0.7242,0.022,6406,2.58,-27.66,32.7,171.3,-84.82,-14.52,3.1,993.74,48.595,0,,,,,,,,
-0.4214,12.5316,2.2674,0.0975,9.7704,0.8361,0.5106,1.9998,0.1408,0.1033,0.4554,-0.292,6343,2.52,-28.32,32.94,178.64,-85.08,-6.65,3.1,993.75,50.61,0,,,,,,,,
0.6465,12.4574,0.7997,0.5541,9.7049,1.2957,0.7963,-0.2978,0.6676,1.1638,0.3485,-0.6145,6638,-3.48,-28.14,33,154.43,-81.74,-23.15,3.1,993.76,51.701,0,,,,,,,,
1.1971,9.2347,-0.7925,-0.0504,9.7827,0.6824,0.5939,-2.3294,-1.4701,0.0196,-0.1579,0.2077,5961,3.18,-26.52,34.56,188.68,-86,4.22,3.1,993.76,55.619,0,,,,,,,,
-0.5004,10.5707,0.6058,-0.145,9.6933,1.4795,-1.0187,2.5462,0.2324,0.2573,0.3869,-0.2926,6889,-0.42,-30.18,32.64,176.95,-81.16,-3.44,3.1,993.74,58.958,0,,,,,,,,
0.1748,6.3448,-0.5818,0.0316,9.7761,0.7722,0.1431,-3.4313,-1.354,0.1247,-0.4023,0.259,6002,2.64,-27.54,34.62,182.41,-85.48,-2.35,3.1,993.74,48.517,0,,,,,,,,
0.0742,7.5061,-0.6512,0.0321,9.6994,1.4458,-0.7456,-2.8949,-1.8265,0.0551,-0.2313,0.2297,6028,-0.54,-29.76,31.92,177.28,-81.52,-1.27,3.1,993.73,47.208,0,,,,,,,,
