ORIENTATION_X,ORIENTATION_Y,ORIENTATION_Z
-83.9,-34.2,262.0
-84.0,-33.2,262.3
-85.7,-42.9,252.4
-85.0,-41.2,252.9
-84.6,-47.0,248.5
-84.0,-56.9,241.4
-83.1,-47.5,249.4
-81.3,-55.1,247.0
-80.2,-63.8,240.7
-79.8,-75.5,231.9
-78.2,-79.9,230.8
-74.4,-67.6,240.0
-73.9,-63.0,245.2
-73.4,-57.5,251.3
-74.3,-54.6,252.5
-75.6,-49.8,258.0
-77.4,-36.5,265.9
-75.4,-35.5,266.1
-76.2,-41.0,261.2
-77.7,-46.1,256.3
-77.2,-55.8,247.9
-76.9,-56.6,245.8
-77.9,-33.6,260.6
-77.1,-24.9,264.8
-75.3,-22.7,266.3
-71.4,-27.1,261.2
-72.3,-29.6,259.4
-71.9,-28.0,261.2
-70.8,-26.1,263.2
-69.9,-28.5,265.8
-70.5,-33.8,262.6
-71.9,-38.0,259.6
-75.4,-44.1,255.6
-78.1,-37.6,260.4
-78.2,-33.4,267.1
-77.8,-33.4,266.1
-77.4,-35.3,266.7
-79.1,-40.0,263.2
-81.3,-38.0,266.5
-82.4,-33.6,270.9
-82.1,-40.2,264.6
-75.0,-41.2,266.6
-75.9,-35.8,273.8
-77.3,-31.1,279.7
-75.9,-34.9,275.1
-72.9,-40.0,270.8
-72.2,-45.0,265.7
-71.5,-47.2,263.2
-73.4,-46.6,264.3
-75.9,-45.2,264.2
-78.1,-48.6,260.8
-78.8,-53.1,256.8
-79.5,-54.4,257.1
-78.1,-50.7,262.2
-78.2,-46.8,266.8
-80.2,-45.2,267.0
-79.6,-39.0,269.0
-78.3,-28.3,276.2
-79.1,-21.6,278.7
-78.4,-19.3,277.4
-77.2,-15.6,280.1
-78.0,-18.1,275.8
-79.6,-20.4,276.2
-79.9,-22.6,274.0
-79.3,-26.0,271.7
-80.1,-32.3,266.2
-80.9,-36.5,263.7
-81.7,-51.4,252.0
-82.9,-51.1,255.1
-79.9,-33.5,268.6
-75.6,-24.9,277.3
-77.1,-26.3,278.1
-78.0,-27.4,279.8
-81.2,-19.5,284.5
-78.3,-22.2,282.4
-74.9,-19.6,289.1
-72.6,-17.9,289.9
-75.8,-14.4,295.0
-77.5,-16.4,295.1
-77.0,-13.4,294.1
-76.4,-12.1,293.8
-76.8,-25.5,274.3
-76.2,-29.1,267.4
-73.6,-28.9,266.2
-76.7,-34.7,257.5
-79.0,-48.8,244.2
-78.9,-53.1,239.9
-78.6,-52.4,243.9
-83.2,-36.0,261.6
-83.1,-25.6,274.4
-84.4,-21.1,277.2
-83.3,-20.3,278.0
-82.4,-7.3,288.1
-80.7,-2.1,289.9
-77.6,-1.2,290.3
-76.8,1.6,292.5
-78.3,-3.7,288.2
-80.5,-14.4,281.1
-81.5,-24.9,270.0
-82.6,-26.1,272.3
-81.8,-10.6,282.4
-82.3,-11.3,284.7
-83.6,-12.6,282.9
-82.3,-21.2,275.4
-82.6,-15.7,280.4
-82.9,-18.0,275.4
-80.5,-20.5,269.1
-76.9,-18.0,270.1
-75.9,-15.0,269.2
-80.3,-22.7,261.7
-81.1,-25.8,260.7
-82.2,-23.1,263.2
-84.3,-21.0,265.6
-82.9,-28.0,261.3
-83.7,-31.6,257.6
-82.6,-46.8,240.6
-79.8,-36.7,251.7
-81.5,-36.3,248.8
-78.1,-32.8,251.5
-77.2,-26.7,256.0
-77.2,-29.2,257.5
-80.8,-35.6,255.6
-81.0,-34.1,257.1
-80.4,-29.6,264.4
-78.2,-22.6,269.8
-77.5,-14.9,278.7
-78.8,-13.8,279.1
-79.3,-12.9,279.8
-77.9,-15.4,278.1
-78.7,-21.1,272.6
-76.4,-26.3,265.2
-76.0,-26.6,265.5
-77.4,-27.9,262.4
-77.6,-32.8,258.4
-78.3,-35.5,256.2
-77.4,-36.9,257.8
-77.1,-32.1,263.8
-78.6,-28.2,269.2
-79.7,-29.8,268.3
-80.2,-27.2,271.4
-80.4,-25.4,274.1
-80.8,-21.8,277.0
-75.7,-24.9,271.2
-74.2,-24.1,271.4
-77.1,-28.1,270.6
-78.5,-27.3,269.4
-78.3,-24.5,274.6
-78.6,-23.5,276.0
-78.5,-23.1,279.7
-79.2,-16.9,285.8
-80.9,-18.4,285.0
-81.9,-24.2,278.8
-81.4,-27.0,275.0
-81.0,-21.8,280.1
-79.0,-18.4,282.0
-78.5,-20.9,280.4
-79.3,-26.1,276.5
-80.3,-35.5,268.7
-80.4,-32.3,272.0
-81.6,-33.3,270.9
-81.2,-25.8,279.3
-81.9,-27.5,279.3
-81.3,-33.6,272.7
-81.3,-37.1,270.4
-83.0,-37.0,273.4
-80.9,-34.6,276.4
-77.8,-27.6,280.9
-78.2,-25.5,285.8
-80.8,-33.7,278.3
-82.8,-49.1,264.1
-82.6,-67.4,245.7
-84.0,-80.2,230.5
-82.2,-53.5,257.2
-81.6,-42.3,266.5
-81.6,-37.8,271.3
-82.6,-37.1,272.9
-83.1,-37.2,269.5
-82.6,-27.9,273.3
-82.1,-30.8,266.8
-81.5,-33.6,263.3
-81.6,-42.1,250.9
-82.1,-46.4,248.8
-84.8,-77.0,216.7
-84.9,-96.7,197.7
-85.3,-112.8,185.8
-86.0,-109.0,189.5
-87.7,-132.7,158.1
-88.4,-97.3,196.7
-87.5,-66.5,226.4
-88.9,44.6,338.0
-88.1,38.0,328.2
-80.4,-24.4,271.4
-80.0,-31.0,262.3
-86.0,-19.7,279.0
-88.1,2.5,304.3
-81.5,-32.4,265.5
-80.5,-34.0,264.3
-82.9,-30.3,266.8
-83.7,-29.6,269.5
-85.4,-43.0,258.8
-86.1,-55.5,245.6
-81.2,-33.9,266.5
-80.3,-28.8,270.6
-79.1,-33.3,266.0
-79.9,-26.0,271.7
-80.9,-29.5,267.6
-81.4,-39.4,256.5
-81.7,-38.0,259.7
-78.9,-39.8,260.7
-79.7,-29.2,272.1
-80.8,-20.8,280.0
-82.6,-30.0,269.2
-82.1,-39.6,259.1
-80.4,-48.9,249.0
-79.3,-40.7,248.6
-81.3,-36.1,239.4
-80.9,-32.7,232.6
-78.5,-42.4,215.4
-79.4,-51.2,210.2
-82.2,-61.2,215.3
-78.1,-45.2,247.3
-78.9,-38.8,266.1
-80.4,-34.9,280.1
-82.2,-36.1,286.7
-82.2,-30.4,296.3
-84.0,-7.0,316.1
-82.2,-7.8,312.0
-80.9,-19.9,296.2
-80.5,-29.7,285.7
-81.3,-40.6,277.5
-82.8,-45.7,273.3
-80.6,-37.5,281.1
-80.0,-42.4,275.8
-80.0,-46.1,271.1
-80.0,-42.2,272.8
-81.2,-43.6,271.6
-82.7,-44.6,269.1
-83.3,-38.5,273.6
-83.3,-32.3,279.8
-82.5,-31.3,280.3
-81.7,-31.2,279.2
-81.7,-35.4,276.0
-82.2,-42.1,269.6
-83.8,-42.8,267.8
-84.9,-46.7,264.4
-84.5,-38.2,275.1
-82.7,-24.6,290.3
-83.4,-20.9,297.0
-84.8,-27.0,290.3
-83.2,-33.7,287.4
-82.6,-29.7,292.7
-82.1,-16.6,303.5
-79.8,-18.0,299.7
-78.6,-18.6,295.9
-79.6,-19.0,289.9
-80.8,-20.3,283.8
-82.5,-24.1,272.2
-82.9,-28.2,267.4
-82.5,-23.5,266.0
-82.0,-12.7,274.8
-82.3,-15.6,268.9
-81.4,-10.2,271.4
-80.9,-6.6,274.7
-80.7,-2.6,274.2
-80.1,-4.0,270.6
-80.2,-7.8,266.6
-82.0,-21.2,249.0
-82.6,-23.0,245.8
-82.6,-27.2,241.4
-81.8,-28.3,241.6
-80.9,-18.6,252.3
-80.4,-16.3,253.8
-82.0,-22.3,245.5
-82.6,-24.2,244.3
-82.2,-20.8,247.4
-81.3,-16.1,247.5
-79.9,-16.3,246.1
-79.4,-15.9,247.5
-79.9,-16.3,246.1
-80.9,-20.8,242.4
-80.5,-22.5,240.3
-81.4,-25.7,236.8
-81.0,-23.7,238.1
-79.7,-21.9,240.6
-80.6,-24.0,239.2
-82.4,-26.8,236.3
-83.3,-27.7,232.7
-82.8,-19.5,234.8
-80.4,-12.2,237.7
-78.7,-9.3,237.9
-77.9,-10.8,234.5
-79.1,-13.5,229.8
-77.8,-13.2,228.3
-78.2,-16.6,222.6
-78.0,-13.2,227.8
-77.0,-12.3,227.9
-76.0,-11.4,226.8
-76.3,-11.4,229.4
-78.5,-14.3,227.8
-80.7,-17.0,226.7
-80.1,-11.7,231.7
-78.8,-11.9,231.1
-77.5,-12.0,228.4
-76.0,-10.2,227.8
-75.8,-9.7,229.8
-78.7,-13.5,230.1
-80.1,-18.6,224.7
-80.1,-19.9,224.5
-79.9,-16.5,228.8
-80.8,-17.4,226.4
-81.3,-22.4,219.9
-80.2,-24.4,217.6
-81.1,-21.8,221.1
-81.5,-25.6,217.7
-82.6,-28.1,213.8
-83.1,-28.7,212.8
-82.2,-24.3,215.7
-82.3,-16.5,217.9
-81.6,-14.5,218.2
-81.3,-13.7,217.8
-80.8,-15.5,214.6
-81.3,-23.2,209.2
-79.7,-25.5,206.6
-80.4,-21.4,208.2
-80.7,-21.9,209.0
-79.8,-19.0,211.2
-80.4,-18.1,213.4
-82.1,-29.0,205.6
-82.8,-32.1,199.5
-81.1,-28.5,203.5
-82.9,-23.1,205.5
-81.5,-21.1,204.6
-80.3,-18.7,205.0
-80.7,-20.1,202.7
-81.9,-24.6,198.0
-81.6,-25.4,196.0
-82.0,-31.7,189.3
-82.1,-27.5,193.2
-81.5,-21.8,197.2
-81.7,-23.1,195.8
-83.2,-29.0,191.0
-81.8,-24.9,195.5
-82.8,-24.6,192.7
-82.5,-21.5,194.1
-80.2,-17.7,194.2
-79.8,-19.5,192.0
-81.3,-19.7,191.4
-81.1,-16.3,194.2
-80.3,-19.8,191.8
-80.4,-15.3,197.3
-80.5,-10.2,203.2
-78.8,-8.1,206.7
-77.9,-10.3,205.5
-78.3,-11.6,203.6
-77.3,-21.0,191.7
-76.9,-17.4,197.9
-77.0,-16.4,195.0
-76.9,-18.1,193.6
-80.8,-24.8,189.5
-80.7,-31.9,178.3
-81.1,-38.6,173.9
-80.8,-33.4,177.5
-80.8,-30.9,182.0
