ORIENTATION_X,ORIENTATION_Y,ORIENTATION_Z
-69.7,-23.0,349.0
-76.3,-27.5,167.9
-77.1,-31.5,163.2
-77.4,-30.2,167.6
-78.1,-30.5,168.7
-78.2,-32.9,169.0
-78.0,-35.6,166.9
-77.2,-29.4,171.8
-76.1,-16.9,178.4
-76.6,-14.7,179.5
-76.8,-16.1,180.5
-75.7,-22.6,177.5
-76.5,-21.0,179.4
-76.1,-16.6,182.1
-76.1,-15.0,188.7
-75.6,-13.2,189.2
-74.4,-12.5,191.1
-74.5,-12.4,195.0
-73.9,-11.9,190.4
-75.4,-10.3,359.0
-76.8,-8.3,1.3
-76.8,-6.8,1.7
-74.6,-4.4,5.7
-74.1,-3.4,7.2
-72.5,-3.9,2.8
-71.9,-1.7,5.5
-71.8,0.4,9.7
-71.7,0.1,9.4
-71.8,-0.9,8.0
-72.2,-3.1,7.0
-72.0,-5.3,4.3
-71.6,-6.5,7.5
-69.1,-8.3,8.0
-74.1,-13.9,179.5
-74.4,-13.2,177.9
-74.2,-9.3,180.4
-73.5,-8.0,183.5
-72.6,-7.5,183.8
-71.9,-8.2,178.8
-69.9,-7.3,177.7
-69.8,-4.5,184.0
-69.7,-4.0,184.2
-69.4,-4.9,185.5
-68.9,-6.5,187.1
-67.5,-9.2,188.8
-67.0,-9.3,191.9
-67.6,-10.9,192.8
-72.7,-4.6,353.2
-73.2,-4.9,352.9
-73.5,-3.3,354.7
-73.0,-2.4,355.8
-70.0,-2.8,355.2
-69.1,-2.9,356.7
-68.4,0.0,360.0
-68.5,1.7,2.0
-70.0,5.4,7.9
-70.3,5.4,10.8
-71.9,5.7,16.8
-72.1,4.0,23.2
-72.7,4.9,38.2
-73.3,4.0,46.7
-74.3,3.7,50.7
-73.4,1.0,59.8
-73.0,0.7,61.5
-72.7,-0.4,62.7
-75.7,4.0,196.7
-76.6,8.7,200.1
-76.2,3.6,194.0
-74.4,0.5,186.9
-74.9,2.5,188.2
-74.6,2.6,193.3
-74.7,1.7,195.0
-74.7,0.2,193.7
-75.2,-2.7,201.2
-74.2,-5.5,198.8
-71.8,-8.8,193.8
-68.8,-12.0,203.6
-68.7,-11.4,205.1
-69.6,-11.7,204.2
-78.0,-24.5,348.6
-78.2,-25.8,347.2
-79.0,-23.2,348.0
-78.3,-22.6,349.2
-78.6,-25.9,349.0
-77.3,-23.8,349.3
-75.9,-18.8,354.3
-75.2,-18.0,354.8
-74.2,-17.9,356.4
-73.6,-20.0,355.5
-74.6,-18.4,358.7
-80.5,-14.2,179.9
-81.1,-11.1,181.9
-80.6,-7.2,185.5
-79.4,-8.2,185.1
-78.5,-10.6,180.6
-78.0,-13.4,176.2
-75.9,-11.1,178.4
-76.1,-6.8,181.3
-75.5,-6.0,186.4
-75.3,-6.8,185.8
-74.3,-9.6,183.7
-74.3,-10.9,185.3
-70.6,-16.3,186.6
-70.5,-19.6,185.4
-81.2,-21.2,349.7
-82.7,-23.2,347.4
-82.1,-20.4,350.4
-79.9,-16.2,354.4
-78.6,-16.0,354.6
-75.5,-10.0,357.7
-74.1,-6.5,1.8
-74.0,-2.7,4.3
-73.4,-3.3,3.4
-73.9,-2.3,3.1
-71.4,-10.0,358.7
-76.6,-9.7,181.6
-77.0,-11.5,178.1
-77.7,-11.3,180.0
-78.5,-12.8,179.3
-77.6,-12.4,179.6
-75.6,-11.8,180.1
-74.3,-10.2,181.7
-74.5,-6.8,183.3
-74.4,-4.2,188.0
-73.9,-5.4,186.7
-72.3,-3.6,196.0
-70.3,-6.0,200.8
-67.9,-6.0,200.0
-66.3,-6.5,203.4
-63.1,-7.9,204.1
-73.6,-35.4,329.0
-74.4,-35.8,329.1
-76.3,-39.6,324.9
-76.5,-41.8,322.8
-78.7,-44.4,319.2
-79.0,-43.4,322.1
-79.4,-41.7,324.3
-78.9,-38.5,327.3
-77.3,-34.2,331.5
-76.6,-27.8,336.8
-76.3,-20.4,341.7
-75.9,-19.2,343.1
-75.7,-19.7,342.4
-75.6,-21.8,343.0
-74.8,-22.6,344.7
-74.7,-23.9,343.7
-77.3,-20.0,173.9
-78.0,-23.7,166.1
-78.9,-26.8,165.1
-80.0,-26.4,165.2
-80.1,-22.1,171.9
-80.0,-20.9,169.6
-79.3,-23.8,165.2
-76.7,-15.7,170.6
-76.8,-12.3,175.3
-76.5,-12.5,177.0
-77.3,-14.4,175.5
-77.8,-16.3,176.1
-78.4,-20.4,174.4
-77.0,-20.0,177.5
-77.0,-20.0,182.2
-74.3,-22.8,185.5
-74.5,-23.2,182.4
-73.6,-9.5,355.5
-74.1,-9.2,354.3
-74.9,-9.0,354.6
-76.2,-6.8,357.2
-76.6,-5.5,358.4
-75.9,-7.9,354.0
-76.5,-10.2,351.6
-75.0,-9.1,352.6
-73.9,-5.4,356.8
-73.6,-4.8,359.2
-72.9,-5.9,359.4
-73.0,-5.9,359.3
-74.7,-4.4,1.1
-74.5,-7.2,0.8
-75.1,-8.6,359.2
-75.6,-9.0,357.2
-75.2,-9.0,357.2
-70.2,-9.0,181.0
-71.5,-8.8,183.3
-72.2,-7.8,181.8
-72.4,-6.3,185.4
-72.7,-5.5,185.5
-71.5,-3.1,187.2
-72.1,-2.3,187.9
-67.7,-1.7,187.9
-66.6,-0.2,193.1
-67.4,-2.7,191.6
-69.3,-5.6,189.8
-71.1,-7.6,186.3
-69.9,-12.4,187.1
-69.9,-14.8,187.6
-68.8,-15.0,189.9
-68.5,-14.9,189.9
-69.6,-15.0,195.6
-76.3,0.5,5.2
-77.4,1.9,6.9
-78.5,0.9,5.7
-77.7,-0.6,5.4
-76.4,0.1,6.0
-77.4,0.7,3.7
-76.7,0.7,3.8
-75.4,5.3,9.0
-75.3,8.6,11.2
-74.5,10.7,12.1
-73.7,5.5,9.2
-73.3,2.3,7.2
-70.6,-2.8,5.5
-73.0,-4.1,3.9
-76.4,-10.4,355.5
-68.5,-2.1,194.2
-70.0,-4.8,192.9
-71.6,-7.4,189.0
-71.7,-6.8,188.8
-73.5,-8.7,187.3
-73.3,-10.1,184.2
-71.2,-8.2,182.9
-71.1,-5.8,184.8
-70.2,-6.8,186.5
-70.7,-8.3,185.2
-73.8,-10.2,185.7
-74.5,-12.7,182.9
-74.4,-16.0,183.1
-73.3,-16.6,181.3
-68.5,-5.3,2.9
-69.7,-4.1,4.4
-71.5,-4.8,3.6
-72.1,-5.7,2.7
-72.8,-6.0,2.2
-72.7,-6.5,1.6
-72.8,-10.2,357.7
-72.9,-10.3,357.5
-71.1,-7.7,0.5
-71.7,-5.6,1.3
-71.2,-4.3,2.7
-71.1,-5.4,3.7
-71.5,-6.8,5.1
-72.9,-10.1,4.8
-71.2,-13.6,358.8
-71.6,-12.9,186.3
-73.1,-11.3,189.5
-74.4,-10.9,187.3
-75.6,-9.3,195.1
-75.6,-8.7,195.7
-73.8,-7.5,193.7
-72.0,-8.7,190.6
-70.0,-7.4,190.9
-70.1,-6.4,192.1
-69.7,-4.3,194.8
-69.9,-3.8,194.4
-69.5,-6.5,197.2
-70.2,-6.8,196.6
-68.6,-10.5,198.1
-72.6,-9.0,357.4
-72.9,-10.2,354.6
-73.0,-8.6,356.3
-72.8,-6.7,359.9
-71.5,-4.6,2.3
-70.7,-3.1,2.3
-70.2,-3.5,2.1
-68.4,-2.4,3.4
-68.6,-1.4,4.4
-69.7,-0.1,9.0
-69.4,-2.1,9.4
